id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,index_12_head,index_23_head,index_3c_head,index_4c_head,index_5c_head,feedback_head,lfo_rate_head,lfo_depth_cents_head,key_scaling_head,env_mod_attack_head,env_mod_decay_head,env_mod_sustain_head,env_mod_release_head,env_car_attack_head,env_car_decay_head,env_car_sustain_head,env_car_release_head,ratio_log2_head,freq_log2_head,detune_carrier_head
2081,series3,175.0716,0.6667,1.7871,3.6718,2.6063,2.0748,0.3238,7.487,0.3256,0.0995,18.8918,0.525,0.0025,0.161,0.3553,0.1842,0.0046,0.0672,0.6495,0.0743,2,1.7871,3.6718,2.6063,2.0748,0.3238,0.3256,0.0995,18.8918,0.525,-8.643856,-2.6348674,0.3553,-2.440655,-7.7641506,-3.895395,0.6495,-3.750494,-0.58489037,7.4518013,7.487
628,series2x2_parallel1,540.4623,3.0,1.3523,1.1713,3.3569,0.251,2.8392,-9.2804,0.1315,7.154,17.1069,0.6044,0.0391,0.3429,0.8387,0.0752,0.016,0.1041,0.1733,0.0713,1,1.3523,1.1713,3.3569,0.251,2.8392,0.1315,7.154,17.1069,0.6044,-4.6766877,-1.5441401,0.8387,-3.7331235,-5.965784,-3.263958,0.1733,-3.8099542,1.5849625,9.07805,-9.2804
1858,parallel5,466.4169,0.2,4.943,0.252,3.3694,3.9598,1.2044,3.0281,0.2844,2.7735,21.8254,0.3258,0.0637,0.0362,0.6706,0.0764,0.0779,0.1028,0.359,0.155,0,4.943,0.252,3.3694,3.9598,1.2044,0.2844,2.7735,21.8254,0.3258,-3.9725628,-4.7878666,0.6706,-3.7102835,-3.6822329,-3.2820878,0.359,-2.6896598,-2.321928,8.865477,3.0281
3604,parallel5,370.8298,1.5,1.4094,0.7071,0.6197,1.9269,4.0535,-2.1237,0.3888,2.1365,12.6162,0.2659,0.0155,0.0699,0.5513,0.3492,0.0027,0.0977,0.4176,0.0831,0,1.4094,0.7071,0.6197,1.9269,4.0535,0.3888,2.1365,12.6162,0.2659,-6.011588,-3.8385637,0.5513,-1.5178745,-8.5328245,-3.3554976,0.4176,-3.5890079,0.5849625,8.534614,-2.1237
170,series2x2_parallel1,111.6984,0.3333,2.0279,3.6366,4.1692,5.9441,0.7119,2.846,0.0626,3.3624,2.8697,0.2112,0.0204,0.0508,0.6633,0.0304,0.0187,0.6185,0.4523,0.0599,1,2.0279,3.6366,4.1692,5.9441,0.7119,0.0626,3.3624,2.8697,0.2112,-5.615287,-4.299028,0.6633,-5.039785,-5.740818,-0.6931545,0.4523,-4.0613003,-1.5851068,6.803465,2.846
1679,series3_parallel2,120.1542,0.3333,0.5281,0.4617,1.5004,2.4505,2.0958,-1.8119,0.4256,3.5332,3.0928,0.553,0.0253,0.0959,0.8424,0.3545,0.0018,0.4445,0.9188,0.2088,3,0.5281,0.4617,1.5004,2.4505,2.0958,0.4256,3.5332,3.0928,0.553,-5.304719,-3.3823254,0.8424,-1.4961425,-9.117787,-1.1697447,0.9188,-2.2598064,-1.5851068,6.9087434,-1.8119
3061,series2x2_parallel1,78.3621,0.1667,0.9271,2.0857,2.8501,3.2258,1.6474,9.9457,0.1859,2.0512,3.38,0.7825,0.0552,0.5152,0.6634,0.1109,0.0247,0.1109,0.9447,0.1236,1,0.9271,2.0857,2.8501,3.2258,1.6474,0.1859,2.0512,3.38,0.7825,-4.179188,-0.95679545,0.6634,-3.1726687,-5.339345,-3.1726687,0.9447,-3.0162494,-2.584674,6.292084,9.9457
3542,series3_parallel2,110.1666,0.3333,0.258,2.4192,4.0531,0.5928,1.992,2.9149,0.3848,1.8645,8.952,0.3789,0.0022,0.2017,0.7741,0.4709,0.0066,0.1721,0.7199,0.0796,3,0.258,2.4192,4.0531,0.5928,1.992,0.3848,1.8645,8.952,0.3789,-8.82828,-2.309717,0.7741,-1.0865073,-7.243318,-2.538681,0.7199,-3.6510878,-1.5851068,6.783543,2.9149
3020,series3_parallel2,559.8043,0.2,1.0207,0.2366,2.98,3.4781,1.4404,-11.8324,0.1888,5.5854,5.8365,0.7594,0.0125,0.1388,0.3475,0.0807,0.0123,0.2474,0.1809,0.1199,3,1.0207,0.2366,2.98,3.4781,1.4404,0.1888,5.5854,5.8365,0.7594,-6.321928,-2.8489206,0.3475,-3.6312873,-6.3451977,-2.0150826,0.1809,-3.0600965,-2.321928,9.128778,-11.8324
1631,parallel5,131.0724,4.0,5.8038,0.4686,0.7253,3.6086,1.1886,-7.7904,0.2123,8.9707,1.4999,0.6213,0.0056,0.055,0.851,0.3361,0.0011,0.4876,0.245,0.3894,0,5.8038,0.4686,0.7253,3.6086,1.1886,0.2123,8.9707,1.4999,0.6213,-7.4803576,-4.1844244,0.851,-1.5730375,-9.82828,-1.03623,0.245,-1.3606752,2.0,7.03422,-7.7904
1824,parallel5,181.1735,0.5,0.5243,5.9945,4.4055,2.0573,3.1405,6.5262,0.4438,3.8978,0.5401,0.7573,0.0101,0.0636,0.8357,0.0539,0.0192,0.4867,0.6526,0.2491,0,0.5243,5.9945,4.4055,2.0573,3.1405,0.4438,3.8978,0.5401,0.7573,-6.629501,-3.9748294,0.8357,-4.213571,-5.7027497,-1.0388954,0.6526,-2.005203,-1.0,7.501228,6.5262
2715,series3_parallel2,190.3142,0.2,1.1139,1.0613,4.1381,1.0645,3.6088,7.6061,0.0202,5.0415,15.5455,0.5631,0.007,0.0584,0.5195,0.4265,0.0083,0.5099,0.3343,0.242,3,1.1139,1.0613,4.1381,1.0645,3.6088,0.0202,5.0415,15.5455,0.5631,-7.158429,-4.097888,0.5195,-1.2293824,-6.912673,-0.97171384,0.3343,-2.046921,-2.321928,7.5722394,7.6061
116,series3_parallel2,192.6845,0.6667,3.8268,2.03,2.4487,3.7171,1.5342,-0.8478,0.0335,7.8389,18.9151,0.5444,0.0049,0.0534,0.7034,0.0351,0.0928,0.1415,0.4502,0.0542,3,3.8268,2.03,2.4487,3.7171,1.5342,0.0335,7.8389,18.9151,0.5444,-7.6730027,-4.2270164,0.7034,-4.832385,-3.4297314,-2.821126,0.4502,-4.2055635,-0.58489037,7.5900965,-0.8478
1949,series3_parallel2,270.3005,0.3333,1.4715,1.0184,0.3083,5.947,3.264,1.9177,0.1772,1.1342,14.4952,0.7718,0.0293,0.2358,0.7363,0.1869,0.0263,0.0416,0.3566,0.1226,3,1.4715,1.0184,0.3083,5.947,3.264,0.1772,1.1342,14.4952,0.7718,-5.0929556,-2.0843644,0.7363,-2.4196615,-5.2487936,-4.5872726,0.3566,-3.0279691,-1.5851068,8.078421,1.9177
3340,series2x2_parallel1,408.6953,2.0,2.3449,2.9023,3.1247,3.7815,2.2842,8.7014,0.4257,2.9854,7.9239,0.3091,0.065,0.0884,0.3384,0.2115,0.0516,0.1508,0.8454,0.1029,1,2.3449,2.9023,3.1247,3.7815,2.2842,0.4257,2.9854,7.9239,0.3091,-3.9434166,-3.4998097,0.3384,-2.2412703,-4.276485,-2.7292917,0.8454,-3.2806852,1.0,8.674882,8.7014
798,series2x2_parallel1,287.9828,0.1667,0.3699,2.5898,1.2319,1.2669,3.7007,7.9238,0.2342,8.4,7.5273,0.5399,0.0042,0.2138,0.8055,0.0808,0.0209,0.1521,0.5812,0.0699,1,0.3699,2.5898,1.2319,1.2669,3.7007,0.2342,8.4,7.5273,0.5399,-7.895395,-2.2256663,0.8055,-3.6295009,-5.5803533,-2.716908,0.5812,-3.8385637,-2.584674,8.169839,7.9238
1912,parallel5,858.0656,0.125,4.39,2.2061,3.2376,0.6737,1.5274,2.1867,0.1783,7.7902,10.4878,0.3555,0.0146,0.1089,0.8469,0.0201,0.0017,0.1303,0.854,0.0337,0,4.39,2.2061,3.2376,0.6737,1.5274,0.1783,7.7902,10.4878,0.3555,-6.097888,-3.198924,0.8469,-5.6366606,-9.20025,-2.940091,0.854,-4.8911076,-3.0,9.744945,2.1867
1154,series3_parallel2,152.5335,3.0,1.6415,3.4701,0.1901,2.7829,2.4677,-1.0791,0.3659,1.4249,20.0355,0.7763,0.0091,0.1644,0.5258,0.0362,0.0019,0.1957,0.8283,0.0761,3,1.6415,3.4701,0.1901,2.7829,2.4677,0.3659,1.4249,20.0355,0.7763,-6.7799177,-2.6047177,0.5258,-4.7878666,-9.039784,-2.3532844,0.8283,-3.7159598,1.5849625,7.252982,-1.0791
3108,series2x2_parallel1,822.8242,4.0,1.0469,4.2104,5.8713,0.4765,1.4525,-7.619,0.1128,8.7274,17.1076,0.1259,0.0058,0.0946,0.6084,0.1324,0.0908,0.4656,0.2563,0.0644,1,1.0469,4.2104,5.8713,0.4765,1.4525,0.1128,8.7274,17.1076,0.1259,-7.4297314,-3.402016,0.6084,-2.9170249,-3.4611638,-1.102837,0.2563,-3.9567955,2.0,9.684441,-7.619
1393,series3_parallel2,73.0801,0.3333,1.9046,0.737,3.6952,0.7915,2.179,-6.8184,0.24,1.8594,11.2134,0.4449,0.0037,0.0636,0.8218,0.0304,0.0016,0.6369,0.1329,0.0429,3,1.9046,0.737,3.6952,0.7915,2.179,0.24,1.8594,11.2134,0.4449,-8.078259,-3.9748294,0.8218,-5.039785,-9.287712,-0.6508612,0.1329,-4.5428786,-1.5851068,6.1914067,-6.8184
1534,parallel5,424.4804,0.1667,3.4979,1.8449,1.6108,1.309,3.3683,10.3925,0.2607,6.5719,9.6899,0.0593,0.0259,0.4959,0.496,0.0511,0.0279,0.0492,0.5501,0.1957,0,3.4979,1.8449,1.6108,1.309,3.3683,0.2607,6.5719,9.6899,0.0593,-5.270904,-1.0118788,0.496,-4.290533,-5.163591,-4.3451977,0.5501,-2.3532844,-2.584674,8.729554,10.3925
1170,parallel5,433.3651,0.1667,0.7184,0.2837,0.5407,5.0668,2.6743,-9.001,0.1354,8.8048,21.3927,0.6557,0.02,0.2261,0.6267,0.5901,0.0018,0.221,0.6462,0.085,0,0.7184,0.2837,0.5407,5.0668,2.6743,0.1354,8.8048,21.3927,0.6557,-5.643856,-2.144967,0.6267,-0.7609687,-9.117787,-2.1778817,0.6462,-3.5563934,-2.584674,8.759439,-9.001
1229,series2x2_parallel1,820.9808,3.0,4.8659,3.9398,0.1669,4.0399,5.7602,7.7015,0.4373,6.7884,21.4846,0.3,0.0092,0.3894,0.7364,0.0244,0.03,0.2073,0.9293,0.4398,1,4.8659,3.9398,0.1669,4.0399,5.7602,0.4373,6.7884,21.4846,0.3,-6.7641506,-1.3606752,0.7364,-5.356975,-5.0588937,-2.270208,0.9293,-1.1850805,1.5849625,9.681205,7.7015
3597,series2x2_parallel1,319.0874,0.2,0.4889,1.8086,1.881,1.5425,4.0817,-9.2484,0.2314,8.554,10.0311,0.5802,0.0154,0.2416,0.382,0.2247,0.0029,0.1838,0.8448,0.0419,1,0.4889,1.8086,1.881,1.5425,4.0817,0.2314,8.554,10.0311,0.5802,-6.020926,-2.0493076,0.382,-2.153928,-8.429731,-2.4437914,0.8448,-4.5769057,-2.321928,8.317808,-9.2484
247,series3_parallel2,191.9739,4.0,1.6636,2.19,1.15,0.3769,1.7062,11.0065,0.1022,7.4544,16.9029,0.1373,0.0346,0.0336,0.2189,0.0354,0.0265,0.2122,0.8749,0.2393,3,1.6636,2.19,1.15,0.3769,1.7062,0.1022,7.4544,16.9029,0.1373,-4.853084,-4.895395,0.2189,-4.820107,-5.237864,-2.2365034,0.8749,-2.0631077,2.0,7.5847664,11.0065
2606,series3,145.5232,1.5,2.1124,2.6462,2.5131,1.4261,3.804,1.1338,0.0229,3.3274,14.5951,0.0677,0.0409,0.5022,0.8612,0.0269,0.0372,0.0631,0.8901,0.0709,2,2.1124,2.6462,2.5131,1.4261,3.804,0.0229,3.3274,14.5951,0.0677,-4.6117554,-0.99366605,0.8612,-5.21625,-4.7485538,-3.986216,0.8901,-3.8180707,0.5849625,7.1851053,1.1338
4062,series2x2_parallel1,89.9334,4.0,0.8204,0.5487,2.7974,3.7116,5.1025,-2.4682,0.398,8.9244,2.755,0.3034,0.014,0.0657,0.6328,0.0479,0.0079,0.4648,0.2202,0.0444,1,0.8204,0.5487,2.7974,3.7116,5.1025,0.398,8.9244,2.755,0.3034,-6.158429,-3.9279628,0.6328,-4.3838305,-6.9839315,-1.1053181,0.2202,-4.4932966,2.0,6.490785,-2.4682
218,series3,85.4196,0.2,1.4417,1.7632,3.4936,1.6921,1.5548,2.4795,0.2966,1.408,5.3197,0.61,0.0188,0.0763,0.2159,0.0356,0.0301,0.2482,0.4285,0.4836,2,1.4417,1.7632,3.4936,1.6921,1.5548,0.2966,1.408,5.3197,0.61,-5.733124,-3.712173,0.2159,-4.811979,-5.054093,-2.010425,0.4285,-1.0481138,-2.321928,6.4164953,2.4795
2207,parallel5,288.7355,3.0,3.1555,1.1339,1.5732,1.3859,4.0638,8.7915,0.1164,6.0144,7.2925,0.0601,0.0427,0.0433,0.2354,0.0228,0.0749,0.0791,0.3875,0.3256,0,3.1555,1.1339,1.5732,1.3859,4.0638,0.1164,6.0144,7.2925,0.0601,-4.54962,-4.529489,0.2354,-5.4548225,-3.7388904,-3.6601784,0.3875,-1.6188273,1.5849625,8.173605,8.7915
869,series2x2_parallel1,113.1811,0.3333,1.3735,1.0883,4.9015,0.6214,1.6126,9.4486,0.1759,2.3201,3.6222,0.5437,0.0396,0.1957,0.6232,0.0248,0.0045,0.0676,0.5916,0.321,1,1.3735,1.0883,4.9015,0.6214,1.6126,0.1759,2.3201,3.6222,0.5437,-4.6583557,-2.3532844,0.6232,-5.333516,-7.7958593,-3.886833,0.5916,-1.6393547,-1.5851068,6.8224893,9.4486
394,parallel5,279.2603,1.0,4.0522,3.0854,5.3704,3.3331,3.2193,-5.8383,0.266,3.9707,9.8402,0.4521,0.0123,0.0354,0.534,0.0721,0.0341,0.1156,0.778,0.0941,0,4.0522,3.0854,5.3704,3.3331,3.2193,0.266,3.9707,9.8402,0.4521,-6.3451977,-4.820107,0.534,-3.7938569,-4.8740845,-3.1127868,0.778,-3.4096615,0.0,8.125466,-5.8383
3288,parallel5,656.3864,2.0,4.0289,3.21,4.1619,1.5634,0.4375,7.1301,0.2263,3.9128,5.1847,0.7504,0.0332,0.2853,0.6291,0.1079,0.0079,0.0531,0.5244,0.0347,0,4.0289,3.21,4.1619,1.5634,0.4375,0.2263,3.9128,5.1847,0.7504,-4.912673,-1.8094484,0.6291,-3.2122333,-6.9839315,-4.235144,0.5244,-4.8489203,1.0,9.358401,7.1301
995,series3_parallel2,157.4179,0.25,1.4612,1.0993,5.4508,3.353,2.0394,1.96,0.1676,7.4152,13.0477,0.2121,0.0643,0.2384,0.6282,0.4846,0.007,0.3467,0.6886,0.0432,3,1.4612,1.0993,5.4508,3.353,2.0394,0.1676,7.4152,13.0477,0.2121,-3.9590375,-2.068544,0.6282,-1.0451337,-7.158429,-1.5282402,0.6886,-4.532825,-2.0,7.2984557,1.96
1462,series3_parallel2,133.5922,0.6667,3.2863,1.7625,4.0308,2.5023,1.5302,0.3076,0.1303,1.5029,9.3241,0.0125,0.0229,0.4493,0.2411,0.1069,0.0036,0.6033,0.435,0.0664,3,3.2863,1.7625,4.0308,2.5023,1.5302,0.1303,1.5029,9.3241,0.0125,-5.4485087,-1.1542491,0.2411,-3.2256663,-8.117787,-0.72905254,0.435,-3.912673,-0.58489037,7.0616918,0.3076
3038,parallel5,317.2959,1.5,0.8174,3.2325,3.8485,3.9094,2.4843,3.5346,0.1346,1.2504,16.3772,0.7306,0.0296,0.1595,0.6665,0.0394,0.0054,0.1043,0.2259,0.0549,0,0.8174,3.2325,3.8485,3.9094,2.4843,0.1346,1.2504,16.3772,0.7306,-5.078259,-2.6483717,0.6665,-4.6656604,-7.532825,-3.261189,0.2259,-4.18705,0.5849625,8.309685,3.5346
1845,series3_parallel2,263.2117,0.5,1.8419,1.6215,1.0445,3.1048,0.4838,9.7017,0.1864,7.4619,11.1961,0.3601,0.0274,0.4629,0.6789,0.1414,0.0575,0.1106,0.62,0.0325,3,1.8419,1.6215,1.0445,3.1048,0.4838,0.1864,7.4619,11.1961,0.3601,-5.18968,-1.1112275,0.6789,-2.822146,-4.120294,-3.1765766,0.62,-4.9434166,-1.0,8.04008,9.7017
2685,series2x2_parallel1,604.5496,1.5,0.2375,1.8464,5.2968,1.4024,0.3756,-7.6552,0.1101,7.857,7.8705,0.2611,0.0207,0.0395,0.3256,0.1383,0.002,0.1277,0.4457,0.78,1,0.2375,1.8464,5.2968,1.4024,0.3756,0.1101,7.857,7.8705,0.2611,-5.5942254,-4.6620035,0.3256,-2.854127,-8.965784,-2.9691696,0.4457,-0.35845402,0.5849625,9.239717,-7.6552
2285,series2x2_parallel1,651.0558,4.0,1.2866,0.2358,0.841,4.3161,2.74,9.9268,0.1764,0.6206,14.2468,0.3107,0.0327,0.1972,0.4363,0.0785,0.002,0.0826,0.708,0.6418,1,1.2866,0.2358,0.841,4.3161,2.74,0.1764,0.6206,14.2468,0.3107,-4.9345655,-2.3422685,0.4363,-3.6711636,-8.965784,-3.5977144,0.708,-0.63980436,2.0,9.346638,9.9268
3826,series2x2_parallel1,293.8628,0.25,1.789,3.7703,3.4605,3.1359,0.2163,4.5427,0.3889,5.7172,5.691,0.2883,0.0341,0.1198,0.5387,0.0573,0.0047,0.3571,0.547,0.3147,1,1.789,3.7703,3.4605,3.1359,0.2163,0.3889,5.7172,5.691,0.2883,-4.8740845,-3.0613003,0.5387,-4.125321,-7.733124,-1.4855999,0.547,-1.6679509,-2.0,8.198998,4.5427
515,series3,79.3845,0.2,3.7942,2.4068,0.7524,1.9933,1.283,5.5871,0.3782,6.6292,14.0386,0.5388,0.004,0.0374,0.5417,0.1217,0.003,0.0459,0.8748,0.0964,2,3.7942,2.4068,0.7524,1.9933,1.283,0.3782,6.6292,14.0386,0.5388,-7.965784,-4.740818,0.5417,-3.038599,-8.380822,-4.445362,0.8748,-3.374823,-2.321928,6.3107853,5.5871
3565,series3,283.7789,1.5,5.3044,5.7809,2.249,4.0006,4.1568,-9.9847,0.1249,7.5627,17.8446,0.6021,0.0269,0.047,0.5014,0.465,0.0057,0.1052,0.4863,0.1007,2,5.3044,5.7809,2.249,4.0006,4.1568,0.1249,7.5627,17.8446,0.6021,-5.21625,-4.4111953,0.5014,-1.1046973,-7.4548225,-3.2487934,0.4863,-3.3118644,0.5849625,8.148623,-9.9847
1753,parallel5,201.6363,4.0,2.2651,1.3357,1.1255,3.6762,1.9006,-9.5381,0.04,0.8077,7.7994,0.1695,0.0081,0.0405,0.5537,0.1711,0.0154,0.3926,0.4276,0.0471,0,2.2651,1.3357,1.1255,3.6762,1.9006,0.04,0.8077,7.7994,0.1695,-6.947862,-4.625934,0.5537,-2.5470881,-6.020926,-1.3488679,0.4276,-4.408129,2.0,7.6556115,-9.5381
763,series3,420.9931,0.6667,3.0995,0.8151,0.6609,0.3129,2.2075,-9.7631,0.1224,1.4144,4.0068,0.3518,0.0127,0.0496,0.8342,0.3509,0.0012,0.4475,0.2418,0.0339,2,3.0995,0.8151,0.6609,0.3129,2.2075,0.1224,1.4144,4.0068,0.3518,-6.299028,-4.333516,0.8342,-1.5108682,-9.70275,-1.1600405,0.2418,-4.8825707,-0.58489037,8.717653,-9.7631
3071,series2x2_parallel1,287.6299,4.0,4.983,5.6975,0.6276,3.9499,1.6418,9.3978,0.1968,5.0642,2.8333,0.5577,0.0664,0.172,0.6777,0.1149,0.0339,0.2172,0.3832,0.1951,1,4.983,5.6975,0.6276,3.9499,1.6418,0.1968,5.0642,2.8333,0.5577,-3.912673,-2.5395195,0.6777,-3.1215494,-4.8825707,-2.202904,0.3832,-2.3577144,2.0,8.16807,9.3978
