id,algorithm,algorithm_family,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head
345,parallel5,parallel,78.3751,3.0,0.3204,4.333,1.3107,0.2359,1.1665,-1.9787,0.0167,1.1465,0.689,0.2429,0.0088,0.0756,0.1554,0.0324,0.0132,0.209,0.729,0.3387,0,1.5849625,6.2923236
3731,series3_parallel2,series,297.5037,0.5,1.6225,1.3227,3.4837,1.6775,3.2659,-1.5855,0.0118,2.5931,6.1399,0.2025,0.0052,0.0714,0.082,0.0168,0.0059,0.0323,0.1131,0.0397,3,-1.0,8.2167635
676,parallel5,parallel,278.7957,0.5,0.6332,1.7342,5.733,3.6962,0.1951,-2.9651,0.0775,0.9006,6.4954,0.2091,0.004,0.1501,0.6403,0.2026,0.0016,0.0656,0.4421,0.1092,0,-1.0,8.123064
505,series3_parallel2,series,72.0043,1.0,3.6164,3.6563,4.597,5.5055,2.3,-0.9463,0.0893,0.5639,3.1151,0.1209,0.0017,0.0815,0.0409,0.0428,0.0069,0.1876,0.2265,0.086,3,0.0,6.170011
3891,series2x2_parallel1,parallel,694.9353,4.0,2.688,2.0645,3.3003,2.0694,1.4691,-2.8221,0.1655,3.9403,6.4105,0.1847,0.0047,0.0568,0.2147,0.0295,0.0058,0.1042,0.1259,0.0473,1,2.0,9.440735
372,parallel5,parallel,249.3113,4.0,5.9449,2.6824,0.9192,3.9542,5.5697,2.9803,0.024,2.7388,1.9058,0.0933,0.0047,0.128,0.3283,0.1069,0.0054,0.0808,0.2068,0.0516,0,2.0,7.9618044
1284,series3,series,155.7799,2.0,3.5395,1.1632,1.2629,0.9251,1.5002,-0.2453,0.1017,1.983,2.8501,0.0509,0.0015,0.0606,0.2895,0.0384,0.0424,0.1593,0.5212,0.4211,2,1.0,7.2833652
278,series2x2_parallel1,parallel,102.9776,0.125,3.1427,5.1415,2.6957,1.7761,3.3157,-2.9505,0.1025,3.2267,4.8404,0.24,0.0021,0.0575,0.1911,0.0366,0.0027,0.05,0.3108,0.033,1,-3.0,6.686187
2388,parallel5,parallel,448.2211,4.0,4.2247,0.1666,0.8251,0.9206,2.6118,0.9137,0.0892,2.5163,3.1794,0.04,0.0032,0.0286,0.0437,0.0656,0.0021,0.1185,0.4608,0.0299,0,2.0,8.808066
2731,parallel5,parallel,625.5642,0.3333,4.4285,3.2025,5.1018,1.196,4.9939,2.0779,0.1462,1.3039,5.2754,0.1177,0.0097,0.0538,0.2731,0.0451,0.0068,0.1435,0.1976,0.1082,0,-1.5851068,9.289014
3561,series2x2_parallel1,parallel,639.745,0.125,1.3579,3.114,3.1787,2.5386,0.1996,0.0542,0.1083,3.4627,7.25,0.1842,0.0246,0.1596,0.7492,0.1477,0.0256,0.2508,0.6583,0.1084,1,-3.0,9.321353
1836,parallel5,parallel,144.3772,0.125,0.4245,1.1211,0.5457,1.6238,2.9384,-2.5546,0.1555,2.6308,2.5277,0.0626,0.002,0.152,0.2079,0.0218,0.0136,0.1931,0.2727,0.0264,0,-3.0,7.173699
3726,series3_parallel2,series,87.6232,0.6667,3.4091,2.3934,0.2127,1.6431,0.8381,0.1661,0.0868,0.6361,7.7523,0.1731,0.0058,0.0297,0.1635,0.0545,0.0724,0.0835,0.4565,0.0841,3,-0.58489037,6.453241
2126,series3_parallel2,series,695.6191,0.3333,1.1685,3.5784,1.6515,0.8955,2.0957,0.185,0.1013,1.7554,6.6904,0.0188,0.0058,0.1342,0.5743,0.1873,0.0053,0.0558,0.0937,0.0574,3,-1.5851068,9.442154
1169,series3,series,187.407,2.0,3.5463,1.1906,4.1994,1.5577,1.032,-2.5836,0.0049,2.8019,0.5936,0.0388,0.0015,0.0871,0.1338,0.0248,0.079,0.1179,0.4762,0.152,2,1.0,7.550031
1266,series3_parallel2,series,408.551,4.0,1.7318,1.4643,1.7748,3.2807,2.3261,0.2088,0.0005,2.0169,4.2461,0.1127,0.0046,0.0508,0.046,0.0968,0.0031,0.1371,0.4499,0.0357,3,2.0,8.674373
1614,parallel5,parallel,396.9153,0.1667,1.59,4.1918,2.0134,0.5714,1.5432,-0.5314,0.0162,2.3893,6.6077,0.2231,0.0144,0.1924,0.5124,0.0748,0.0559,0.0755,0.652,0.2901,0,-2.584674,8.632688
927,series3_parallel2,series,632.2083,0.6667,3.9036,0.1771,1.5875,2.5451,3.5943,-0.9316,0.1093,1.4988,1.8054,0.0718,0.0064,0.1255,0.4551,0.1049,0.0017,0.0591,0.3154,0.0628,3,-0.58489037,9.304256
807,series3_parallel2,series,207.6555,3.0,1.8996,3.5326,1.8426,1.0975,1.0196,2.431,0.1344,1.508,7.5878,0.0975,0.0115,0.2597,0.4553,0.0989,0.0271,0.1885,0.8548,0.5376,3,1.5849625,7.698048
3997,series2x2_parallel1,parallel,333.4949,1.0,1.841,2.1588,1.1206,2.6661,1.5529,0.7469,0.007,0.6224,0.4967,0.1717,0.0882,0.1231,0.8288,0.0954,0.0306,0.1038,0.9111,0.09,1,0.0,8.381521
3338,parallel5,parallel,403.4767,4.0,4.8281,1.2373,0.2256,2.3031,3.7151,0.3984,0.032,2.6781,5.0768,0.2182,0.0047,0.0962,0.3859,0.0849,0.0349,0.113,0.6598,0.0449,0,2.0,8.656342
1263,series3,series,107.8396,3.0,0.5921,4.3339,1.2098,2.2829,0.4816,-1.2954,0.0629,2.2936,3.3549,0.1574,0.0219,0.0812,0.6811,0.1529,0.0124,0.0703,0.354,0.1848,2,1.5849625,6.7527432
2757,series3_parallel2,series,822.6722,0.2,5.4527,4.6333,0.4058,3.1037,2.2023,-2.3027,0.0987,2.9377,2.386,0.013,0.002,0.0553,0.0734,0.0914,0.0254,0.1545,0.3319,0.1177,3,-2.321928,9.684174
1716,series3_parallel2,series,108.5772,2.0,2.0026,0.328,5.6586,1.204,0.7879,0.5171,0.0077,2.0852,1.0152,0.0221,0.0045,0.0733,0.2146,0.0377,0.0393,0.0804,0.8574,0.205,3,1.0,6.7625775
55,series3,series,68.8845,0.25,0.2798,3.6265,5.229,5.8933,2.6669,0.063,0.1749,0.4711,3.8933,0.0727,0.0052,0.0492,0.1093,0.0213,0.0046,0.0987,0.2335,0.0211,2,-2.0,6.106107
2899,series2x2_parallel1,parallel,279.9909,2.0,3.8254,1.4412,3.9971,1.3015,0.7642,-0.7274,0.1168,2.8394,7.1316,0.032,0.0029,0.0635,0.0847,0.0286,0.0049,0.0936,0.2647,0.037,1,1.0,8.129236
2007,series2x2_parallel1,parallel,277.847,1.5,0.4026,3.3914,2.7101,2.6636,1.5089,0.4726,0.0821,1.2701,6.3315,0.1853,0.0443,0.1124,0.6234,0.3003,0.0129,0.0738,0.1105,0.111,1,0.5849625,8.118147
2605,series3_parallel2,series,261.1263,0.3333,1.5524,1.0449,0.2773,1.0299,1.5592,-0.6849,0.0609,0.5779,3.4365,0.0877,0.0062,0.0655,0.311,0.0651,0.0031,0.2116,0.1112,0.0756,3,-1.5851068,8.028604
3130,series2x2_parallel1,parallel,77.9135,3.0,2.1689,0.3128,0.961,1.6631,3.4296,-0.6122,0.172,0.4451,5.8164,0.2396,0.0068,0.0631,0.1217,0.0359,0.0064,0.0669,0.259,0.0207,1,1.5849625,6.2838016
3366,parallel5,parallel,92.1106,0.6667,3.6878,0.9031,3.016,1.8402,4.8257,0.573,0.1042,3.9956,1.8466,0.2222,0.0035,0.0617,0.0509,0.0556,0.0085,0.2887,0.4575,0.0492,0,-0.58489037,6.5252953
2021,series3,series,402.663,3.0,2.9235,2.5241,1.0085,0.9136,2.6633,1.512,0.0891,1.2282,2.8661,0.0843,0.0077,0.0626,0.0597,0.0446,0.0099,0.146,0.7231,0.3065,2,1.5849625,8.653429
2693,parallel5,parallel,531.4708,0.1667,0.5549,3.9773,0.2741,3.9401,1.2103,1.2034,0.091,0.7104,7.498,0.1979,0.0108,0.0609,0.1392,0.0928,0.012,0.1222,0.5273,0.2187,0,-2.584674,9.053846
217,series3_parallel2,series,544.7677,1.5,1.9918,2.2357,1.6532,3.1612,0.8265,2.9374,0.0046,2.7277,4.4056,0.0546,0.0018,0.0289,0.1101,0.0207,0.0149,0.0943,0.7546,0.0683,3,0.5849625,9.089498
2267,parallel5,parallel,483.447,0.2,1.6082,2.1991,0.316,3.3942,1.0493,1.802,0.174,2.6879,4.0101,0.0826,0.0192,0.1392,0.5347,0.1342,0.0019,0.054,0.2546,0.0758,0,-2.321928,8.917213
1092,series3,series,532.8266,3.0,3.4843,3.0352,0.5855,3.6687,1.7784,2.0025,0.165,0.7976,0.026,0.0158,0.0018,0.0588,0.0852,0.0186,0.0056,0.2378,0.5989,0.315,2,1.5849625,9.057522
2266,series3_parallel2,series,149.1062,0.3333,2.8097,1.0723,3.2157,0.746,2.672,2.3482,0.0883,2.3355,0.9022,0.1595,0.0057,0.1796,0.7742,0.0586,0.0015,0.0359,0.1142,0.0867,3,-1.5851068,7.2201962
576,series3_parallel2,series,163.5808,0.6667,2.9453,1.3256,1.6648,1.6142,0.2394,1.91,0.1238,0.6751,0.3666,0.1889,0.0052,0.1361,0.2928,0.0329,0.011,0.0416,0.2676,0.1361,3,-0.58489037,7.3538594
4014,series3_parallel2,series,442.5228,1.0,3.3678,2.1004,1.7099,0.4935,4.1741,0.6273,0.0307,1.817,4.5568,0.0925,0.0093,0.0478,0.2549,0.0368,0.0049,0.1675,0.7656,0.2439,3,0.0,8.789608
1425,series2x2_parallel1,parallel,237.5133,4.0,3.2749,5.5575,0.6879,2.5115,2.6984,-1.7325,0.1339,3.1462,0.2367,0.0509,0.0152,0.1462,0.7345,0.1256,0.0579,0.2275,0.762,0.098,1,2.0,7.8918643
2092,series3_parallel2,series,107.2327,3.0,1.7781,1.0718,0.2417,1.3748,2.2004,-0.6842,0.1484,3.715,3.2164,0.1814,0.0018,0.0722,0.3098,0.0467,0.011,0.0587,0.0849,0.1037,3,1.5849625,6.7446012
1490,series2x2_parallel1,parallel,186.7558,0.2,2.4588,1.2633,1.3579,0.9636,0.6989,1.546,0.0724,2.0805,7.9865,0.0392,0.005,0.115,0.2278,0.023,0.0064,0.119,0.1086,0.1967,1,-2.321928,7.545009
4017,series3,series,146.8771,0.6667,1.0454,4.8425,0.1915,2.0499,1.5802,-1.2075,0.0248,3.8287,5.6708,0.2212,0.005,0.0818,0.1307,0.0182,0.0201,0.1959,0.9366,0.2993,2,-0.58489037,7.198466
3699,series2x2_parallel1,parallel,127.2532,0.5,1.6712,1.519,1.7039,1.9923,3.0944,-0.6281,0.084,1.2944,6.7165,0.0207,0.0152,0.1273,0.4217,0.074,0.0114,0.1957,0.635,0.0911,1,-1.0,6.991558
1801,parallel5,parallel,89.8421,0.3333,3.5968,4.166,2.5366,1.1072,3.8905,-1.1428,0.0682,0.7048,0.5519,0.2232,0.0068,0.0277,0.0862,0.024,0.0145,0.179,0.7244,0.2151,0,-1.5851068,6.48932
3003,series3_parallel2,series,162.2262,1.5,2.1901,0.3955,5.3802,2.3506,1.8003,2.3668,0.1452,3.1196,1.1861,0.2264,0.0039,0.0478,0.2142,0.0885,0.008,0.157,0.4225,0.3298,3,0.5849625,7.341863
3976,series3_parallel2,series,128.7774,0.25,2.4736,3.7469,0.6766,1.6305,0.6032,-2.6695,0.1612,3.5173,6.5758,0.0381,0.008,0.247,0.5433,0.1412,0.0045,0.1879,0.3774,0.3001,3,-2.0,7.0087357
1133,series3_parallel2,series,166.7511,1.0,3.9188,1.2994,2.5946,1.5634,1.4854,-0.1684,0.0996,1.3497,3.5491,0.0261,0.0018,0.0928,0.0635,0.0198,0.0104,0.0451,0.1934,0.1658,3,0.0,7.3815527
1416,parallel5,parallel,94.3592,0.125,5.1384,0.6942,0.3031,1.6774,3.7306,2.5381,0.0223,0.0192,1.1714,0.2211,0.0025,0.0954,0.3458,0.075,0.0133,0.2189,0.4451,0.0535,0,-3.0,6.5600915
577,series3_parallel2,series,820.0293,1.5,2.2586,5.1409,3.7707,0.8289,0.3613,0.8931,0.0928,3.2486,2.6616,0.0143,0.0264,0.1461,0.548,0.0479,0.0274,0.0949,0.3901,0.0633,3,0.5849625,9.679532
3493,series2x2_parallel1,parallel,107.9192,0.6667,3.4296,3.7047,3.9839,1.3217,2.4078,2.9428,0.1469,0.2771,5.1856,0.2214,0.0022,0.0441,0.1622,0.0773,0.0445,0.0766,0.7646,0.2441,1,-0.58489037,6.7538075
4074,parallel5,parallel,108.9559,0.3333,1.2474,3.4888,1.491,0.4302,0.3866,-1.7365,0.1418,2.0283,2.5225,0.0019,0.0047,0.029,0.1533,0.0236,0.004,0.1087,0.1652,0.0254,0,-1.5851068,6.7676005
2166,series3,series,768.5207,4.0,1.1114,5.7267,1.0746,1.3902,2.3507,1.2327,0.0493,0.3421,1.9589,0.0782,0.0095,0.2471,0.5337,0.0758,0.0738,0.233,0.8148,0.5162,2,2.0,9.58594
3557,series3_parallel2,series,746.8439,1.0,5.4957,0.2489,2.2079,0.3837,1.4547,-1.4617,0.0352,1.8137,3.8856,0.1041,0.005,0.0902,0.1199,0.0219,0.0056,0.1994,0.3839,0.1155,3,0.0,9.544662
3390,series3_parallel2,series,398.8549,4.0,3.267,0.6445,0.3122,5.5037,1.638,-2.5596,0.0223,0.4418,3.857,0.1951,0.0055,0.0301,0.204,0.0407,0.0056,0.1533,0.2204,0.0454,3,2.0,8.63972
702,parallel5,parallel,140.9123,2.0,1.5318,3.8073,2.5727,3.897,1.1341,2.7056,0.1277,0.2812,7.1277,0.1045,0.0017,0.0951,0.2553,0.0252,0.0573,0.2389,0.4757,0.1723,0,1.0,7.1386538
2779,series3_parallel2,series,473.6668,2.0,1.7623,0.916,1.1964,1.4692,1.6001,1.8975,0.0129,0.9279,5.5672,0.1001,0.0021,0.0626,0.0404,0.0162,0.0262,0.116,0.7307,0.0756,3,1.0,8.887729
1283,series3_parallel2,series,725.9893,0.2,3.9449,2.9961,0.5073,3.6915,1.4069,0.3218,0.0284,3.0491,4.9502,0.1759,0.0076,0.0892,0.4136,0.0987,0.0102,0.0409,0.1244,0.099,3,-2.321928,9.503804
2988,parallel5,parallel,148.0552,0.2,2.1116,2.7098,1.9149,2.3011,2.1171,-0.5787,0.096,1.4164,7.533,0.209,0.0055,0.152,0.1533,0.0349,0.007,0.1286,0.7675,0.1538,0,-2.321928,7.2099915
1664,series2x2_parallel1,parallel,68.8577,0.3333,3.5006,5.6839,2.8356,1.6077,0.1549,0.8986,0.1605,1.0268,1.153,0.0904,0.0495,0.1023,0.4698,0.1899,0.0021,0.0534,0.0986,0.0303,1,-1.5851068,6.105546
1264,series3,series,869.6913,2.0,1.96,1.1399,2.9003,2.612,1.5747,-1.4212,0.0484,3.1498,4.3314,0.1871,0.0042,0.2203,0.5213,0.1598,0.0366,0.1883,0.6563,0.0533,2,1.0,9.764359
2448,series2x2_parallel1,parallel,186.3168,0.6667,0.7487,0.3827,1.2884,3.9091,2.9502,-0.4266,0.1216,3.3893,7.1464,0.2495,0.0065,0.2317,0.6765,0.1659,0.0122,0.0951,0.507,0.3359,1,-0.58489037,7.541614
3655,series3_parallel2,series,171.1067,0.5,3.4781,1.4404,0.8421,2.4367,5.0944,0.1596,0.0431,1.6024,4.2002,0.1634,0.003,0.0861,0.0478,0.0445,0.0021,0.0462,0.1511,0.0924,3,-1.0,7.4187527
2226,series2x2_parallel1,parallel,147.4078,4.0,1.9489,0.2604,2.6946,1.4729,1.1209,-2.7067,0.046,3.579,1.3553,0.1938,0.0041,0.1809,0.7547,0.0477,0.0091,0.1056,0.416,0.1705,1,2.0,7.203669
880,series3,series,191.6815,4.0,3.494,4.1358,3.0666,5.6382,2.4486,0.3682,0.0894,3.5552,4.4823,0.0713,0.004,0.1081,0.4122,0.1914,0.0313,0.127,0.4253,0.0781,2,2.0,7.582567
664,series3_parallel2,series,382.2553,0.25,4.1939,5.1538,0.5499,2.3792,3.3118,-1.053,0.1323,0.0389,7.849,0.0448,0.0078,0.1119,0.1014,0.0514,0.0018,0.0328,0.054,0.1099,3,-2.0,8.578393
3921,series3,series,230.7318,0.6667,0.57,3.9119,1.9802,0.8849,3.6771,1.5009,0.0296,1.0503,0.8372,0.0298,0.0056,0.0948,0.114,0.0194,0.0052,0.047,0.3374,0.023,2,-0.58489037,7.850073
2100,parallel5,parallel,757.2694,0.25,0.9443,2.1642,0.4684,5.9435,1.2956,-2.7881,0.1689,1.8425,5.0605,0.1749,0.0087,0.1941,0.3817,0.0476,0.002,0.0349,0.1158,0.08,0,-2.0,9.564663
2218,series2x2_parallel1,parallel,746.4202,0.1667,0.9263,2.3774,0.4515,1.3393,4.5689,0.5233,0.0459,3.2789,3.7795,0.0846,0.0031,0.0731,0.0983,0.0735,0.0058,0.0836,0.6203,0.2561,1,-2.584674,9.543844
648,series2x2_parallel1,parallel,89.7652,1.0,0.7644,1.9788,1.0467,1.1376,3.6543,-1.5219,0.0006,1.7771,2.2264,0.1625,0.0845,0.1216,0.4931,0.252,0.007,0.112,0.2462,0.0428,1,0.0,6.4880843
1859,parallel5,parallel,216.4697,0.6667,1.8899,1.3369,1.0557,3.4984,0.5732,-1.357,0.1299,3.4351,4.8155,0.1499,0.01,0.0844,0.3061,0.0511,0.0518,0.2945,0.7356,0.0964,0,-0.58489037,7.7580214
2124,parallel5,parallel,638.4446,2.0,1.5809,1.0665,0.3359,0.3386,3.2321,2.4687,0.0606,3.8485,4.5893,0.223,0.0071,0.1469,0.355,0.0408,0.0033,0.177,0.1582,0.1606,0,1.0,9.318418
2444,parallel5,parallel,67.7697,0.5,0.2669,2.8869,2.2461,1.2238,3.276,-2.2112,0.1426,0.8042,7.4257,0.1373,0.0018,0.097,0.1252,0.0207,0.0032,0.1276,0.0743,0.1528,0,-1.0,6.0825686
610,series2x2_parallel1,parallel,97.7625,4.0,4.0159,1.0585,1.2791,1.9179,2.5586,1.4402,0.1474,3.7679,6.0013,0.1868,0.0019,0.0407,0.223,0.0251,0.0175,0.2898,0.7813,0.1149,1,2.0,6.6112094
3827,series2x2_parallel1,parallel,759.0127,0.6667,2.3257,3.7374,1.1935,5.8251,3.7304,-2.5493,0.1346,2.1189,6.4882,0.1023,0.0096,0.1212,0.2065,0.0385,0.0108,0.0696,0.3386,0.1096,1,-0.58489037,9.56798
1730,series3_parallel2,series,392.9874,3.0,0.6158,1.7034,1.4667,2.3472,0.3645,-0.2498,0.0545,3.2546,1.7958,0.088,0.0422,0.1462,0.8175,0.1269,0.0055,0.1707,0.4701,0.0215,3,1.5849625,8.61834
3589,series3_parallel2,series,362.5672,1.5,1.989,3.78,4.3291,2.2022,0.3694,-0.8446,0.1702,0.3356,2.4968,0.0066,0.0113,0.0901,0.2673,0.1142,0.0238,0.3264,0.5822,0.3231,3,0.5849625,8.502105
3323,series3,series,305.8209,0.25,1.8445,1.4663,0.2734,0.2521,0.6517,-2.4407,0.0451,2.6593,3.9956,0.2134,0.0388,0.1018,0.4702,0.2534,0.0019,0.0697,0.2,0.1259,2,-2.0,8.256543
4041,series3,series,713.0661,1.0,1.1095,0.2393,2.4348,4.1061,3.956,1.1053,0.1082,3.5403,3.8111,0.193,0.0027,0.0363,0.0577,0.0546,0.0085,0.0899,0.2841,0.0447,2,0.0,9.477892
2991,series2x2_parallel1,parallel,93.169,0.1667,1.428,4.1632,0.7622,3.4012,0.2702,1.6236,0.1069,0.5631,5.6291,0.116,0.0017,0.0298,0.057,0.0741,0.0347,0.3201,0.6675,0.3337,1,-2.584674,6.541778
4035,series3,series,111.9803,0.25,1.5938,3.6463,1.7115,1.803,1.3778,-0.4771,0.0535,3.765,5.2862,0.1393,0.0961,0.0604,0.586,0.1733,0.007,0.0317,0.202,0.1483,2,-2.0,6.8071012
2512,series2x2_parallel1,parallel,510.1651,0.25,4.7998,1.7236,0.5306,1.965,3.9136,1.2854,0.1182,3.3876,1.3653,0.1842,0.0046,0.0802,0.2609,0.0216,0.0389,0.2219,0.7269,0.3023,1,-2.0,8.994821
3031,series3_parallel2,series,565.1393,3.0,1.3675,1.4397,2.6056,3.3579,1.5475,2.3832,0.045,1.9267,7.5438,0.0985,0.0226,0.1118,0.4608,0.318,0.1316,0.1744,0.691,0.1332,3,1.5849625,9.142463
1089,series3_parallel2,series,436.3143,1.5,0.6701,1.2988,2.9952,1.5582,3.8921,-2.063,0.0376,2.0139,4.349,0.1643,0.0074,0.0435,0.0839,0.0265,0.0259,0.1915,0.3745,0.0702,3,0.5849625,8.769224
