id,algorithm,frequencia_base,ratio_carrier,index_12,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,freq_log2,algorithm_idx,freq_bin
920,series2x2_parallel1,564.8909,2.0,3.7084,-9.6402,0.0502,0.0,0.0,-0.1556,9.141829,1,9
2963,series3,124.8603,0.25,0.842,10.5642,0.2279,0.0,0.0,0.1958,6.964171,2,3
1127,series3_parallel2,519.6552,1.5,3.0568,2.091,0.2719,3.9812,3.0397,0.2314,9.021411,3,9
1805,series3,210.4273,1.0,4.4926,-1.2313,0.0163,0.0,0.0,0.1962,7.7171783,2,5
2187,parallel5,115.4957,0.5,0.4849,-1.9804,0.1099,0.0,0.0,0.1444,6.851695,0,2
590,series3,471.5305,0.125,1.9104,3.9677,0.1267,0.0,0.0,0.1459,8.881207,2,9
3062,series3_parallel2,637.6611,2.0,1.2396,9.7721,0.1181,1.3345,3.1304,-0.1799,9.316646,3,10
2476,parallel5,495.0383,1.5,0.7319,2.2536,0.1553,1.3083,4.7635,-0.2077,8.951396,0,9
2465,parallel5,90.9974,0.125,0.2383,1.4964,0.0865,0.0,0.0,-0.1366,6.5077534,0,1
514,series3_parallel2,603.8751,3.0,2.6858,8.344,0.1164,2.6506,5.4454,0.1916,9.238107,3,10
263,series2x2_parallel1,495.8391,0.1667,3.1719,3.5896,0.0465,0.0,0.0,-0.1681,8.953729,1,9
2023,parallel5,279.3152,1.5,2.3418,7.9168,0.0442,1.565,1.3094,0.1608,8.125751,0,6
2128,series3,179.9373,1.0,3.1045,-2.7268,0.2212,0.0,0.0,-0.127,7.4913507,2,4
811,parallel5,485.2789,0.125,1.3216,8.064,0.191,0.0,0.0,-0.2456,8.92267,0,9
2013,series2x2_parallel1,246.1399,0.5,1.4592,-6.5931,0.1741,0.5464,3.8947,-0.1319,7.9433346,1,6
2131,series3_parallel2,123.28,1.5,3.7422,8.9688,0.1317,0.0,0.0,-0.0313,6.945795,3,2
693,series3,752.9189,0.125,3.7072,-6.2613,0.2171,2.4842,7.9552,-0.2013,9.556351,2,11
1995,series2x2_parallel1,204.5619,0.6667,0.8736,-3.2982,0.1138,0.7334,7.1948,0.1189,7.6763935,1,5
2624,parallel5,238.182,2.0,3.6804,10.1504,0.0775,0.0,0.0,0.1789,7.8959208,0,5
258,series3,146.6885,1.0,0.2635,3.6593,0.0821,0.0,0.0,-0.1809,7.196612,2,3
447,series3_parallel2,113.0458,4.0,1.5337,-7.6663,0.1594,0.0,0.0,-0.2028,6.8207636,3,2
106,series3_parallel2,88.3469,0.125,3.4508,2.8957,0.0233,0.0,0.0,0.0903,6.4651074,3,1
2891,series2x2_parallel1,662.1782,3.0,1.2954,-5.6045,0.2462,3.5232,5.9645,-0.1262,9.371076,1,10
1912,series3_parallel2,567.5236,0.125,5.99,-1.7254,0.1364,2.4554,4.9635,-0.1874,9.148537,3,9
298,parallel5,709.3517,0.3333,2.8119,-0.2998,0.0135,0.0,0.0,0.1729,9.470357,0,10
2611,series2x2_parallel1,210.1923,2.0,5.2453,-2.0006,0.2083,0.0,0.0,0.0131,7.715566,1,5
2954,series2x2_parallel1,149.4359,1.0,4.4722,9.8986,0.2335,0.0,0.0,0.2146,7.223383,1,3
1943,series3_parallel2,812.0878,0.125,3.3336,-10.968,0.1942,3.8163,7.4756,0.0808,9.665492,3,11
2399,series2x2_parallel1,323.374,0.125,3.8949,-1.4801,0.046,0.0,0.0,0.0731,8.33706,1,7
1917,series2x2_parallel1,233.1308,0.2,0.9927,11.2964,0.0503,3.1663,1.4347,-0.2275,7.864996,1,5
1568,series3,273.316,0.6667,0.7782,-0.052,0.2423,3.4042,1.5992,-0.2307,8.094426,2,6
2298,series2x2_parallel1,435.1598,1.0,3.2909,-1.5927,0.0647,0.0,0.0,-0.0215,8.765402,1,8
2351,series2x2_parallel1,441.1995,0.25,0.9262,-9.0697,0.0106,0.0,0.0,0.2005,8.785287,1,8
906,series3,712.1494,3.0,5.7307,1.6576,0.0392,0.0,0.0,0.0547,9.476036,2,10
1779,series2x2_parallel1,94.1695,1.5,3.2631,-10.7311,0.0196,1.2058,4.7574,0.0254,6.557188,1,1
1577,parallel5,183.9691,1.0,3.6421,-2.7332,0.0332,0.0,0.0,-0.0692,7.5233197,0,4
1477,series3,167.8418,0.3333,2.4515,-1.1152,0.0545,0.0,0.0,0.0966,7.3909583,2,4
2868,series3_parallel2,184.1862,0.5,0.9762,1.6309,0.0671,0.0,0.0,0.1667,7.525021,3,4
2253,series2x2_parallel1,214.8025,0.2,3.3119,5.9386,0.1274,1.261,5.2422,0.1087,7.746867,1,5
2559,parallel5,90.6968,1.5,0.1227,3.9675,0.0593,3.9266,7.5895,-0.1275,6.5029798,0,1
2336,series3,619.6092,0.3333,1.2417,-6.8368,0.1025,0.0,0.0,-0.0945,9.275215,2,10
936,series3,506.0973,3.0,2.9089,-11.2118,0.1142,0.0,0.0,-0.1143,8.983271,2,9
1914,series3,223.4172,0.3333,2.0069,2.7765,0.1124,0.0,0.0,-0.0834,7.8035965,2,5
2313,series3,653.7032,0.25,3.1525,9.2674,0.0496,0.0,0.0,-0.1275,9.352492,2,10
676,series3_parallel2,480.2119,0.3333,0.9626,11.3484,0.0764,0.0,0.0,0.222,8.907527,3,9
964,series3_parallel2,260.926,4.0,0.2546,-3.6355,0.1045,2.8036,1.6136,-0.1684,8.027497,3,6
1469,series3_parallel2,759.3498,1.0,3.9654,-5.3673,0.2426,0.0,0.0,-0.1809,9.568621,3,11
589,parallel5,86.3924,1.0,0.1714,-9.0076,0.0036,0.0,0.0,-0.0074,6.4328327,0,1
1012,parallel5,395.6545,0.25,3.7561,7.0934,0.0116,3.9493,5.6668,0.0177,8.628098,0,8
1288,series2x2_parallel1,95.5548,0.2,0.6754,-10.1581,0.0044,3.0575,1.0404,0.0181,6.5782566,1,1
1266,series2x2_parallel1,220.5348,0.6667,0.0883,-10.8275,0.2617,0.0,0.0,0.0683,7.7848625,1,5
77,series2x2_parallel1,521.5037,0.125,0.5223,-9.4866,0.1066,0.0,0.0,-0.2125,9.026534,1,9
1480,series2x2_parallel1,245.7966,4.0,0.9733,-5.0211,0.0898,0.0,0.0,-0.0575,7.9413214,1,6
1394,series3_parallel2,67.9191,0.3333,5.9349,1.5463,0.1922,0.0,0.0,0.1434,6.0857453,3,0
505,series3,878.2634,2.0,1.6814,-5.2485,0.0641,0.0,0.0,-0.2051,9.77851,2,11
2115,series2x2_parallel1,156.7879,1.0,1.8618,8.3598,0.0645,2.3388,1.8109,-0.1102,7.2926702,1,3
1649,series3,122.7695,0.2,4.4824,-7.0366,0.2175,0.0,0.0,0.1448,6.9398084,2,2
766,parallel5,177.8163,0.5,5.8396,10.0847,0.0208,0.0,0.0,0.188,7.4742436,0,4
1239,series3,98.7377,0.2,4.5257,-6.3739,0.0263,2.2839,7.4718,-0.1951,6.6255293,2,1
160,series3_parallel2,284.9996,0.125,4.4752,1.1724,0.0088,1.3774,1.5793,0.0403,8.154816,3,6
1305,series3_parallel2,792.9451,3.0,0.2849,4.6834,0.041,0.0,0.0,0.1745,9.631077,3,11
2240,series3,752.9011,1.0,2.4253,-4.411,0.0913,0.0,0.0,0.0743,9.556316,2,11
2304,series2x2_parallel1,188.6604,3.0,4.371,-0.3727,0.0163,3.6542,7.2099,0.1477,7.559648,1,4
3013,series3_parallel2,101.3438,0.25,0.6759,-10.383,0.1087,0.0,0.0,-0.1235,6.663114,3,2
734,series2x2_parallel1,136.0951,0.2,1.1219,5.1904,0.2492,2.5088,5.1702,0.0911,7.0884714,1,3
1011,parallel5,518.2565,0.3333,3.0783,-3.2517,0.1576,0.0,0.0,-0.2115,9.017523,0,9
2102,parallel5,732.9697,0.25,0.82,-1.1008,0.2206,0.0,0.0,-0.1624,9.51761,0,11
551,series3,91.0,0.5,2.9725,9.6861,0.1045,0.0,0.0,0.1589,6.507795,2,1
2126,parallel5,238.5138,4.0,2.85,-3.7296,0.2237,0.7341,0.212,0.0377,7.8979287,0,5
2201,series3_parallel2,75.2271,1.0,2.0109,2.4833,0.0713,2.33,3.5776,0.1676,6.2331805,3,0
960,parallel5,106.8847,0.125,4.0444,-0.8228,0.2791,0.0,0.0,-0.0848,6.7399116,0,2
1497,series3_parallel2,301.0231,0.2,2.6284,-4.8102,0.0234,0.0,0.0,-0.1616,8.23373,3,6
1220,series3,67.9653,1.5,0.6775,5.9936,0.0378,0.0,0.0,-0.183,6.0867267,2,0
855,series3_parallel2,69.3554,2.0,0.9536,-9.3852,0.0173,0.7927,4.4871,-0.1462,6.1159363,3,0
3068,series2x2_parallel1,70.5201,0.125,3.6978,-11.7804,0.0923,2.2307,7.7592,0.2436,6.1399627,1,0
0,series3,387.6108,0.2,0.5368,-8.4976,0.0331,0.0,0.0,0.1413,8.598465,2,8
3030,series3_parallel2,510.9895,3.0,1.3464,7.2935,0.1036,1.0062,6.3862,0.1522,8.997149,3,9
534,series3_parallel2,260.337,1.5,0.8591,3.2674,0.2421,0.0,0.0,0.1772,8.024237,3,6
2190,parallel5,383.1572,4.0,3.8542,-11.7992,0.0597,0.0,0.0,-0.0261,8.581793,0,7
2282,parallel5,439.4826,0.5,0.0288,9.3974,0.0949,0.0,0.0,-0.1659,8.779662,0,8
1206,series3_parallel2,179.8897,1.0,4.3164,-7.2801,0.237,0.0,0.0,0.2321,7.4909687,3,4
1901,series3,90.5354,0.5,1.6136,2.5037,0.0635,0.0,0.0,-0.2132,6.50041,2,1
1540,series3,166.9548,0.125,3.947,6.7973,0.0043,1.8703,1.5708,-0.0969,7.3833137,2,4
231,series3_parallel2,361.8214,0.125,4.768,-11.2494,0.023,0.0,0.0,0.0709,8.499134,3,7
358,series3,406.8435,0.125,2.9622,4.578,0.0356,2.9432,4.9,0.0376,8.66833,2,8
403,series2x2_parallel1,218.9018,0.25,1.0096,1.0185,0.2065,0.0,0.0,0.132,7.77414,1,5
2940,series2x2_parallel1,144.6283,2.0,1.2965,-7.341,0.1466,0.0,0.0,0.1602,7.176206,1,3
1647,series3,535.8543,0.25,4.2479,1.196,0.0426,3.7372,6.7396,0.058,9.065697,2,9
1097,parallel5,417.5307,0.125,0.7142,-10.0522,0.0083,0.0,0.0,-0.2189,8.705738,0,8
1186,series2x2_parallel1,680.4968,1.5,2.8163,-8.2656,0.2347,0.0,0.0,-0.1105,9.410444,1,10
1708,parallel5,368.2585,0.125,0.7717,-2.9862,0.0682,0.0,0.0,0.1449,8.524575,0,7
2490,parallel5,73.0521,3.0,0.251,7.716,0.0983,0.0,0.0,-0.2051,6.190854,0,0
68,series2x2_parallel1,71.7583,0.125,2.0498,-0.5283,0.0737,1.6927,1.4197,0.1512,6.165074,1,0
2338,series3_parallel2,620.8984,0.2,1.2134,7.5943,0.0188,3.5671,4.5939,0.1223,9.2782135,3,10
691,series2x2_parallel1,98.9346,1.5,1.2519,10.8676,0.0259,0.993,5.7484,0.2467,6.628403,1,1
910,series3,105.4535,0.6667,0.7973,-7.6498,0.0006,0.0,0.0,0.141,6.7204633,2,2
1125,series2x2_parallel1,88.617,4.0,2.0264,2.3415,0.045,0.0,0.0,0.0596,6.4695115,1,1
2885,series2x2_parallel1,205.9873,0.2,3.3979,-5.4506,0.2039,0.0,0.0,0.1892,7.686412,1,5
2652,series2x2_parallel1,136.3078,0.3333,3.102,-11.0556,0.2288,0.0,0.0,0.2002,7.0907245,1,3
1616,series3,878.6293,2.0,1.4354,10.9827,0.1412,0.0,0.0,-0.0634,9.779111,2,11
2328,parallel5,122.1007,1.0,0.3111,-5.919,0.026,0.0,0.0,-0.0557,6.9319277,0,2
2183,series2x2_parallel1,430.3846,4.0,0.8416,3.7309,0.0718,3.6387,6.4946,-0.2053,8.749483,1,8
1756,series3,132.4996,0.5,1.4322,-9.7082,0.032,0.5561,1.1142,0.135,7.0498443,2,3
506,parallel5,401.0833,2.0,4.4971,9.0787,0.0606,3.5938,7.5633,0.0676,8.6477585,0,8
2213,series3,142.3151,3.0,4.492,4.5722,0.1251,0.0,0.0,0.112,7.152945,2,3
1450,series3,161.9436,2.0,1.9668,10.7517,0.0154,2.9315,1.8605,-0.0879,7.339348,2,4
1918,series2x2_parallel1,397.5256,2.0,3.4596,5.3336,0.0619,0.0,0.0,-0.0202,8.634904,1,8
1368,series3,783.0333,3.0,0.8239,-7.8914,0.0513,0.0,0.0,0.1769,9.61293,2,11
1792,series3_parallel2,74.9994,0.1667,0.5964,-8.5154,0.0576,0.0,0.0,-0.1512,6.228807,3,0
1017,series3_parallel2,143.7668,0.2,3.2699,-2.2286,0.2768,0.0,0.0,0.1814,7.167587,3,3
2389,series2x2_parallel1,90.0218,0.125,0.2461,-4.0074,0.0546,0.0,0.0,-0.1061,6.4922023,1,1
743,series2x2_parallel1,121.6417,0.6667,0.5611,6.5435,0.011,2.9898,2.8241,0.1678,6.926494,1,2
896,parallel5,372.3276,4.0,1.7712,-7.7242,0.0435,0.0,0.0,-0.2492,8.540429,0,7
476,parallel5,462.6137,1.0,2.345,-1.7083,0.2637,2.3065,5.4576,0.2219,8.853664,0,8
1976,series3,143.5888,0.6667,1.779,3.2874,0.0858,2.9363,0.5137,0.0067,7.1657996,2,3
1608,series3,654.0646,1.0,4.4307,-1.4843,0.0559,0.0,0.0,-0.2312,9.35329,2,10
518,series2x2_parallel1,76.5642,1.0,0.8639,-11.4234,0.2696,1.365,3.7886,0.2294,6.258598,1,0
2009,series3_parallel2,84.2962,3.0,3.3501,3.4458,0.2455,0.0,0.0,0.1335,6.3973956,3,1
580,series3,192.0626,0.5,2.9601,-4.6125,0.1314,3.9737,0.9958,0.2161,7.585433,2,4
2384,series3,96.8821,1.5,0.192,-4.6363,0.1742,2.0031,2.2047,0.0207,6.5981584,2,1
2451,series3,799.3029,3.0,0.0129,-6.058,0.0912,0.0,0.0,-0.184,9.642598,2,11
327,series2x2_parallel1,79.1752,0.5,5.654,4.6133,0.2432,0.0,0.0,0.1404,6.306977,1,0
169,parallel5,371.0772,0.6667,2.9702,10.0296,0.1264,0.8613,7.7475,0.0668,8.535576,0,7
2849,parallel5,80.5245,2.0,0.0076,7.6569,0.0465,0.0,0.0,-0.1069,6.331356,0,0
1569,series2x2_parallel1,67.4428,0.1667,0.7084,8.2877,0.2086,2.454,4.4818,0.231,6.0755925,1,0
2769,parallel5,200.688,0.3333,2.6794,-2.4069,0.0147,0.0,0.0,0.029,7.6488104,0,5
944,parallel5,66.1132,3.0,0.9916,-7.7089,0.2277,0.0,0.0,0.181,6.0468664,0,0
788,series3_parallel2,788.2548,1.5,0.3803,-7.0206,0.2001,0.0,0.0,0.1999,9.622519,3,11
1519,parallel5,67.4051,3.0,0.7681,-1.3423,0.2186,0.0,0.0,0.1982,6.0747857,0,0
1026,series2x2_parallel1,742.9635,0.1667,3.4753,-7.9828,0.0232,0.0,0.0,0.0566,9.5371475,1,11
1495,series2x2_parallel1,489.239,1.5,1.3692,-10.3507,0.1541,3.2673,2.8795,-0.122,8.934396,1,9
2133,series3_parallel2,233.5544,1.0,3.2423,-3.78,0.1183,3.7177,1.1157,-0.2029,7.8676147,3,5
987,series3,419.9661,1.0,5.136,-7.1473,0.1163,0.0,0.0,-0.0551,8.714129,2,8
2794,series3,711.5596,0.25,5.5609,3.8845,0.0671,0.0,0.0,-0.075,9.474841,2,10
2138,series3,147.6543,4.0,4.4267,-1.9486,0.1115,1.0005,5.3773,0.1832,7.2060795,2,3
2363,series3,174.9473,1.5,2.417,6.5832,0.2056,0.0,0.0,0.193,7.4507766,2,4
2152,parallel5,419.2109,3.0,3.3522,-10.8291,0.2374,0.0,0.0,0.1287,8.711533,0,8
1293,series2x2_parallel1,86.2975,1.0,1.5261,3.4596,0.0253,0.0,0.0,-0.1181,6.4312468,1,1
2651,series3,100.4346,0.1667,3.7011,6.3252,0.0778,0.0,0.0,-0.2083,6.6501126,2,1
2975,parallel5,212.1587,1.0,0.7092,-9.7346,0.1579,2.4698,0.2442,0.1007,7.729,0,5
2484,parallel5,124.4941,1.5,0.5196,10.5202,0.1655,0.9373,4.9539,0.0493,6.9599338,0,3
2846,series3,201.9825,3.0,3.3307,0.9681,0.1679,3.3973,3.574,0.1115,7.6580863,2,5
1440,parallel5,735.9511,0.25,3.2251,-1.3657,0.0035,0.0,0.0,0.2265,9.523466,0,11
1619,parallel5,344.2807,0.2,3.1018,6.9269,0.0178,0.0,0.0,0.2156,8.427442,0,7
2892,series2x2_parallel1,596.5027,4.0,4.7948,6.811,0.0317,0.0,0.0,-0.1767,9.220385,1,10
3037,series3,273.5664,2.0,0.5651,1.8688,0.1096,0.0,0.0,-0.0767,8.095747,2,6
1733,parallel5,528.4391,0.25,3.7749,-5.2961,0.0134,0.0,0.0,0.0347,9.045593,0,9
3034,series2x2_parallel1,215.1686,1.0,0.9562,11.6112,0.1639,1.3129,7.2303,-0.0217,7.749324,1,5
