id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx,ratio_log2_head,freq_log2_head,detune_carrier_head
1702,series2x2_parallel1,405.8425,2.0,2.4023,5.486,0.9043,3.5879,1.3292,0.5992,0.4083,1.7141,21.8207,0.221,0.0047,0.4818,0.6757,0.6187,0.0333,0.2651,0.6229,0.7173,1,1.0,8.664776,0.5992
1709,series2x2_parallel1,627.4711,2.0,4.1244,3.5832,0.9842,3.9876,1.0906,9.2809,0.1384,6.6935,3.2194,0.2834,0.0085,0.0663,0.4268,0.2006,0.0314,0.289,0.7047,0.295,1,1.0,9.293406,9.2809
3211,parallel5,113.1958,0.25,3.4922,0.1923,1.0025,5.6062,0.7423,10.7191,0.3905,4.7744,18.8947,0.7921,0.0022,0.2283,0.4758,0.1862,0.0012,0.3792,0.7251,0.5826,0,-2.0,6.8226767,10.7191
2986,parallel5,529.9894,1.0,4.4803,3.3838,3.8589,1.9909,0.8443,-5.1692,0.3424,8.1001,20.8481,0.7891,0.0055,0.2886,0.7915,0.3703,0.0032,0.6436,0.9179,0.2497,0,0.0,9.04982,-5.1692
1076,series3,102.5142,0.2,2.5869,2.4608,2.3126,2.9102,2.662,6.8353,0.1396,4.5217,7.5178,0.7722,0.0294,0.0425,0.5665,0.0213,0.1133,0.4479,0.429,0.0452,2,-2.321928,6.67968,6.8353
724,series3_parallel2,87.1752,0.5,0.3386,3.2321,4.8064,5.2326,5.5227,-5.1175,0.2321,0.6846,0.2466,0.3295,0.007,0.3356,0.3104,0.3703,0.0752,0.0495,0.4477,0.3687,3,-1.0,6.445846,-5.1175
1203,parallel5,221.4925,4.0,2.4181,0.3728,4.42,0.1764,5.357,-8.2932,0.0867,0.5861,5.0411,0.1976,0.0021,0.2585,0.2964,0.0585,0.0014,0.1977,0.4959,0.1529,0,2.0,7.791114,-8.2932
86,series2x2_parallel1,318.4108,1.5,1.148,0.4429,0.6446,3.3982,1.4505,-10.8145,0.0136,6.8927,9.6267,0.2887,0.008,0.0973,0.4492,0.2263,0.0078,0.1735,0.1711,0.0369,1,0.5849625,8.314746,-10.8145
4044,parallel5,75.3082,3.0,4.1051,0.3339,1.5523,3.1445,1.2092,-3.1194,0.1826,6.3959,21.5856,0.3601,0.0622,0.1557,0.8238,0.0205,0.0322,0.1734,0.243,0.0993,0,1.5849625,6.234735,-3.1194
1181,series3_parallel2,581.9457,0.6667,3.2557,0.6242,0.3797,1.717,2.641,6.9816,0.0622,8.3273,21.9971,0.5847,0.0034,0.0719,0.2506,0.0358,0.0835,0.1145,0.7081,0.1043,3,-0.58489037,9.184741,6.9816
335,series3,318.708,0.125,0.3734,3.6739,0.2172,3.7051,3.1292,11.6955,0.0699,5.809,20.1601,0.1151,0.0757,0.4476,0.7541,0.0933,0.0366,0.0526,0.3364,0.2022,2,-3.0,8.316092,11.6955
1707,series3,364.3554,1.0,0.2192,3.7573,1.3602,0.6226,0.263,1.0449,0.314,2.7291,9.7178,0.2158,0.0731,0.041,0.4569,0.2831,0.074,0.1802,0.3398,0.0938,2,0.0,8.509203,1.0449
624,parallel5,663.45,0.25,1.2959,2.6854,5.009,5.7463,2.7176,-7.6591,0.136,5.8275,19.5635,0.0041,0.0204,0.0352,0.7003,0.6388,0.0266,0.5847,0.5373,0.1498,0,-2.0,9.373844,-7.6591
57,parallel5,431.4627,2.0,1.3209,0.8662,2.1088,2.9212,3.2709,-2.2865,0.3028,8.3833,9.2569,0.1763,0.0481,0.16,0.4725,0.0995,0.0044,0.0808,0.4947,0.3127,0,1.0,8.753092,-2.2865
1254,series3,140.9115,4.0,1.7683,0.6174,4.6781,4.7421,3.2207,6.2083,0.2871,2.0328,12.4842,0.4128,0.0422,0.1502,0.4058,0.04,0.0052,0.3706,0.2731,0.1306,2,2.0,7.1386456,6.2083
1574,series3_parallel2,151.3782,2.0,3.7151,0.4883,1.3573,2.188,1.0751,8.8238,0.1327,5.1766,3.1593,0.7741,0.0151,0.0314,0.265,0.1948,0.0031,0.0467,0.1534,0.5839,3,1.0,7.2420135,8.8238
1910,series2x2_parallel1,739.7551,0.6667,1.5249,0.209,2.2021,1.1992,1.6909,-2.5513,0.1047,4.2957,11.7309,0.412,0.0021,0.3509,0.5506,0.0326,0.0013,0.0523,0.7169,0.0984,1,-0.58489037,9.530904,-2.5513
427,series3_parallel2,495.7001,0.3333,1.6958,1.1328,1.4907,4.2132,2.7833,-11.1535,0.3734,0.7639,21.4143,0.6386,0.0049,0.098,0.2809,0.0832,0.0527,0.051,0.8224,0.36,3,-1.5851068,8.953323,-11.1535
1068,series3,439.3141,0.3333,2.1895,5.0979,0.5174,0.4567,1.0306,-2.0569,0.3737,1.1228,5.7459,0.359,0.0556,0.3977,0.4502,0.0368,0.0653,0.4657,0.4853,0.4397,2,-1.5851068,8.779109,-2.0569
3364,series2x2_parallel1,73.2725,0.2,1.3256,4.4558,5.8094,1.6509,4.3897,-5.7836,0.388,3.7722,5.2732,0.018,0.002,0.2494,0.5989,0.0425,0.0172,0.0891,0.8075,0.2213,1,-2.321928,6.1952,-5.7836
386,parallel5,280.1627,2.0,3.2141,3.2107,3.7567,0.3257,2.7646,-3.0716,0.1743,5.9803,16.8051,0.2901,0.0096,0.1985,0.5726,0.3141,0.0327,0.2096,0.5407,0.2151,0,1.0,8.130121,-3.0716
2505,series3,411.6974,2.0,5.2073,0.8402,2.925,1.3297,1.2824,3.8296,0.0075,0.8222,14.5413,0.1456,0.0491,0.1086,0.6271,0.0922,0.0099,0.3103,0.6247,0.284,2,1.0,8.68544,3.8296
1293,series3_parallel2,309.9115,0.6667,1.7667,1.3227,2.9676,3.9034,1.1892,-4.4247,0.3663,6.2169,1.9322,0.3223,0.0152,0.5448,0.3786,0.3633,0.0821,0.1665,0.3773,0.096,3,-0.58489037,8.275712,-4.4247
4092,series2x2_parallel1,167.5376,2.0,0.2311,3.0183,4.4089,1.6866,3.8218,10.3036,0.3092,0.9629,21.1648,0.4496,0.0183,0.1648,0.552,0.2694,0.009,0.0887,0.4925,0.0445,1,1.0,7.388341,10.3036
2817,series3_parallel2,344.332,0.1667,1.5206,3.0463,1.8159,1.5597,4.4858,-9.8509,0.201,7.9725,13.7377,0.2655,0.0735,0.0327,0.5194,0.0645,0.0425,0.4332,0.6514,0.1374,3,-2.584674,8.427656,-9.8509
338,series2x2_parallel1,624.9986,0.6667,1.1463,3.4138,2.9447,0.8085,5.5856,6.6139,0.1267,7.6618,1.6787,0.7226,0.0058,0.0505,0.2138,0.257,0.0037,0.1676,0.9038,0.5639,1,-0.58489037,9.287709,6.6139
65,series3,92.0098,0.25,5.5221,3.6897,2.9644,1.6036,0.1563,-5.5729,0.0117,6.4939,12.3951,0.051,0.0217,0.2476,0.7579,0.2616,0.0702,0.1215,0.587,0.0852,2,-2.0,6.5237155,-5.5729
1507,parallel5,228.7899,0.2,0.6186,4.5126,2.5536,3.2356,1.686,7.919,0.4021,0.8176,5.3241,0.2878,0.0167,0.04,0.7781,0.5712,0.0072,0.074,0.9492,0.0402,0,-2.321928,7.8378797,7.919
2977,series3_parallel2,635.258,0.1667,0.5877,4.4484,4.8918,1.3433,4.6556,3.6007,0.3649,5.858,13.2254,0.362,0.0047,0.0409,0.6729,0.0828,0.0012,0.0934,0.7238,0.2939,3,-2.584674,9.311199,3.6007
1081,series3_parallel2,172.2021,1.0,2.4247,3.9257,3.8086,0.6806,0.9371,5.3696,0.2737,1.5898,6.4572,0.3431,0.0046,0.1114,0.7045,0.0826,0.0174,0.1911,0.9474,0.1529,3,0.0,7.427959,5.3696
164,series3_parallel2,786.2255,0.6667,3.1664,2.1529,3.9736,1.2387,3.3047,0.9805,0.0267,8.0209,9.0028,0.2359,0.041,0.1745,0.3547,0.0692,0.0061,0.3699,0.629,0.1608,3,-0.58489037,9.618799,0.9805
2913,series3_parallel2,84.3171,0.1667,3.9816,0.8067,1.0019,0.6037,4.7542,-11.3416,0.2816,7.0318,5.5677,0.7683,0.0048,0.3249,0.301,0.0353,0.001,0.1521,0.7122,0.0342,3,-2.584674,6.3977532,-11.3416
3804,series3,437.5756,0.1667,1.2598,3.8665,2.5275,0.9364,3.7862,4.4748,0.0335,2.8975,0.2272,0.2435,0.0244,0.3463,0.2547,0.0448,0.0052,0.496,0.4024,0.3744,2,-2.584674,8.773389,4.4748
551,series3,598.0299,0.25,0.4662,1.0773,3.9354,0.3209,5.3709,4.1464,0.1865,8.0324,1.4988,0.2627,0.0021,0.1377,0.3952,0.1061,0.0606,0.2069,0.9255,0.0331,2,-2.0,9.224073,4.1464
2830,series3,117.981,1.5,2.0449,1.727,1.5499,2.3251,5.276,9.8346,0.0789,5.6037,5.4471,0.4319,0.0074,0.1561,0.2305,0.0313,0.0075,0.0441,0.9091,0.0501,2,0.5849625,6.882411,9.8346
4054,series2x2_parallel1,131.6012,0.6667,3.8023,1.3778,0.3954,0.6255,1.2827,5.2089,0.3717,5.7646,21.7095,0.2448,0.0022,0.2662,0.7377,0.0774,0.0567,0.042,0.9438,0.101,1,-0.58489037,7.0400286,5.2089
1788,series2x2_parallel1,301.046,2.0,1.2233,0.5474,0.8814,4.7073,3.2799,11.3484,0.2979,0.2488,5.2936,0.6483,0.0025,0.0441,0.6979,0.0278,0.0141,0.0595,0.3171,0.5782,1,1.0,8.23384,11.3484
1390,series3,237.6174,0.25,2.1251,5.814,2.7974,0.5484,5.0815,3.5375,0.2861,8.0208,10.5524,0.6413,0.0061,0.3719,0.315,0.1674,0.0012,0.1156,0.6125,0.0733,2,-2.0,7.8924966,3.5375
4074,series2x2_parallel1,536.8761,3.0,1.8503,2.0866,2.016,5.0748,1.5079,-10.08,0.3632,4.9729,13.535,0.1191,0.0382,0.0478,0.3516,0.3904,0.0094,0.0443,0.3231,0.4576,1,1.5849625,9.068445,-10.08
3730,parallel5,106.1361,0.2,1.5178,1.3711,1.4591,1.1105,2.8046,9.9013,0.1143,6.0812,14.3181,0.608,0.0573,0.2756,0.7141,0.3824,0.0322,0.6202,0.8715,0.0964,0,-2.321928,6.7297716,9.9013
501,series3,652.4965,0.6667,4.6613,3.0204,1.5131,0.2879,3.7576,8.8453,0.4402,6.0566,13.3027,0.6567,0.0274,0.2469,0.7105,0.1013,0.0498,0.0877,0.6593,0.0933,2,-0.58489037,9.349827,8.8453
1870,series3,101.858,3.0,1.1476,4.4971,0.4362,3.5113,0.5956,1.0986,0.3255,3.9864,7.9804,0.387,0.0025,0.4957,0.2783,0.0201,0.0092,0.3957,0.4839,0.1816,2,1.5849625,6.6704154,1.0986
3723,parallel5,785.0669,4.0,0.2378,4.0288,1.6846,1.8169,0.2862,-0.5525,0.1715,7.5116,1.7066,0.6183,0.0052,0.5337,0.6867,0.024,0.0045,0.6247,0.9057,0.0363,0,2.0,9.616672,-0.5525
34,series3,200.0756,0.5,1.6077,0.1549,3.9399,0.3878,1.7057,0.1431,0.1849,0.3962,13.1469,0.3141,0.0033,0.048,0.2111,0.0358,0.0267,0.0566,0.6312,0.1559,2,-1.0,7.6444016,0.1431
