id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,ratio_log2,freq_log2,algorithm_idx,algorithm_prefix_idx,algorithm_suffix_idx
1633,series3_parallel2,255.905,0.1667,2.6581,1.2303,3.6776,1.6751,0.4122,0.0,0.0,0.0,0.0,0.0,-2.584674,7.9994645,3,2,2
335,series2x2_parallel1,623.9249,2.0,1.4452,1.7128,0.6934,3.75,0.4311,0.0,0.0,0.0,0.0,0.0,1.0,9.285229,1,1,1
1102,series2x2_parallel1,676.8045,0.2,2.2625,3.6825,0.9298,3.8619,0.5533,0.0,0.0,0.0,0.0,0.0,-2.321928,9.4025955,1,1,1
1870,series3_parallel2,93.0019,0.5,1.9636,2.4457,1.5928,1.3705,2.6532,0.0,0.0,0.0,0.0,0.0,-1.0,6.5391884,3,2,2
3699,series3_parallel2,578.5096,3.0,4.0147,0.3734,4.5006,3.7468,4.977,0.0,0.0,0.0,0.0,0.0,1.5849625,9.176197,3,2,2
3910,series3_parallel2,196.6857,2.0,2.2805,2.6688,0.6225,1.5642,5.4406,0.0,0.0,0.0,0.0,0.0,1.0,7.619748,3,2,2
1658,series3,86.8017,1.5,0.7497,0.4675,2.6402,1.725,1.3984,0.0,0.0,0.0,0.0,0.0,0.5849625,6.4396515,2,2,0
404,series3_parallel2,875.0177,2.0,0.2776,4.6042,3.1787,2.8034,3.8342,0.0,0.0,0.0,0.0,0.0,1.0,9.773169,3,2,2
2268,series3_parallel2,330.5298,3.0,4.0756,5.7998,3.3816,5.9937,1.8575,0.0,0.0,0.0,0.0,0.0,1.5849625,8.368636,3,2,2
1362,parallel5,219.4185,4.0,0.2742,2.8152,2.0696,3.9464,2.2116,0.0,0.0,0.0,0.0,0.0,2.0,7.777541,0,0,3
3469,series2x2_parallel1,132.2264,0.3333,3.6709,3.6764,0.7375,3.6516,4.5255,0.0,0.0,0.0,0.0,0.0,-1.5851068,7.0468664,1,1,1
2467,series3_parallel2,98.3723,0.2,5.935,2.0827,1.6202,5.9802,0.5611,0.0,0.0,0.0,0.0,0.0,-2.321928,6.62018,3,2,2
1495,series3_parallel2,150.951,1.5,5.5373,0.2549,2.2999,5.9434,4.0209,0.0,0.0,0.0,0.0,0.0,0.5849625,7.2379365,3,2,2
488,series3_parallel2,70.7009,0.3333,4.1225,3.1472,0.4925,4.8645,0.6703,0.0,0.0,0.0,0.0,0.0,-1.5851068,6.1436567,3,2,2
3526,series3_parallel2,722.526,0.125,5.6988,0.2813,4.8297,3.8861,3.8095,0.0,0.0,0.0,0.0,0.0,-3.0,9.496905,3,2,2
2240,series3_parallel2,287.5312,0.6667,1.769,3.0728,4.8866,3.1735,2.3548,0.0,0.0,0.0,0.0,0.0,-0.58489037,8.167575,3,2,2
3545,series3_parallel2,88.75,2.0,2.7771,3.5756,3.3471,0.8849,0.8391,0.0,0.0,0.0,0.0,0.0,1.0,6.4716754,3,2,2
3925,parallel5,314.042,0.5,0.8669,1.6145,3.7523,2.4446,0.7856,0.0,0.0,0.0,0.0,0.0,-1.0,8.294814,0,0,3
1788,parallel5,151.176,0.5,2.9511,0.6132,1.0985,0.2809,0.4811,0.0,0.0,0.0,0.0,0.0,-1.0,7.240085,0,0,3
2574,parallel5,125.0059,0.6667,5.8274,0.9394,3.7821,0.4272,0.2283,0.0,0.0,0.0,0.0,0.0,-0.58489037,6.9658523,0,0,3
967,series3,275.375,0.125,5.344,0.5868,2.5434,1.0699,3.0083,0.0,0.0,0.0,0.0,0.0,-3.0,8.105254,2,2,0
3628,parallel5,826.7718,0.25,3.0752,0.7818,0.8658,0.4222,1.0213,0.0,0.0,0.0,0.0,0.0,-2.0,9.691345,0,0,3
798,series3,509.196,4.0,2.0145,0.8799,1.1959,1.4042,3.4352,0.0,0.0,0.0,0.0,0.0,2.0,8.992077,2,2,0
3983,series3_parallel2,133.6856,1.0,0.5762,2.0143,1.1889,0.8814,0.7938,0.0,0.0,0.0,0.0,0.0,0.0,7.0627003,3,2,2
877,parallel5,792.4901,0.6667,1.5469,3.3439,1.7181,1.8845,0.9034,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.630249,0,0,3
1806,series3_parallel2,343.2312,2.0,1.7736,0.9267,2.6071,1.0801,5.5067,0.0,0.0,0.0,0.0,0.0,1.0,8.423037,3,2,2
2564,series2x2_parallel1,438.9368,0.2,0.8991,1.7525,2.6004,4.6063,0.6644,0.0,0.0,0.0,0.0,0.0,-2.321928,8.777869,1,1,1
2971,parallel5,812.2729,2.0,5.5498,2.6639,4.6609,1.2058,3.4607,0.0,0.0,0.0,0.0,0.0,1.0,9.665821,0,0,3
1388,series2x2_parallel1,199.9423,0.125,1.732,0.3623,1.7776,5.7927,2.929,0.0,0.0,0.0,0.0,0.0,-3.0,7.64344,1,1,1
604,series2x2_parallel1,629.3495,0.3333,0.5555,3.1364,1.7409,1.2799,1.0316,0.0,0.0,0.0,0.0,0.0,-1.5851068,9.297717,1,1,1
883,series3,524.8119,1.5,0.5288,2.357,4.436,3.9194,3.7183,0.0,0.0,0.0,0.0,0.0,0.5849625,9.035657,2,2,0
2067,series2x2_parallel1,457.538,1.5,2.1268,5.4644,2.2468,0.9136,0.1979,0.0,0.0,0.0,0.0,0.0,0.5849625,8.837748,1,1,1
2193,series3,114.4554,0.2,1.0061,0.6022,1.2869,1.832,1.4638,0.0,0.0,0.0,0.0,0.0,-2.321928,6.8386416,2,2,0
1948,series3,427.349,4.0,4.5529,3.1444,1.018,4.1274,1.1759,0.0,0.0,0.0,0.0,0.0,2.0,8.739271,2,2,0
2011,parallel5,850.0151,0.2,1.7702,0.8283,1.9767,0.6601,5.6273,0.0,0.0,0.0,0.0,0.0,-2.321928,9.731344,0,0,3
1804,parallel5,111.1799,2.0,1.6641,2.2268,3.6239,3.3458,2.9421,0.0,0.0,0.0,0.0,0.0,1.0,6.796752,0,0,3
1550,series3,217.9567,0.2,0.3606,3.8436,0.6452,3.9841,2.5906,0.0,0.0,0.0,0.0,0.0,-2.321928,7.7678976,2,2,0
1244,series3,146.3794,1.5,4.6001,4.2313,0.4131,1.4231,5.193,0.0,0.0,0.0,0.0,0.0,0.5849625,7.1935687,2,2,0
2529,parallel5,192.2465,1.0,0.7332,4.7369,2.7272,4.1528,2.7501,0.0,0.0,0.0,0.0,0.0,0.0,7.5868134,0,0,3
2949,series3_parallel2,451.7869,0.2,3.6715,2.8734,0.456,4.6685,5.3445,0.0,0.0,0.0,0.0,0.0,-2.321928,8.819499,3,2,2
2226,series3_parallel2,875.4652,3.0,2.7653,1.7455,1.3331,1.7876,2.0884,0.0,0.0,0.0,0.0,0.0,1.5849625,9.773906,3,2,2
848,series3_parallel2,814.4635,1.5,0.8989,0.3689,4.8442,4.5647,4.9224,0.0,0.0,0.0,0.0,0.0,0.5849625,9.669706,3,2,2
4012,series3_parallel2,737.0373,1.0,1.9824,3.1707,4.1317,3.8248,3.7168,0.0,0.0,0.0,0.0,0.0,0.0,9.525594,3,2,2
2785,parallel5,401.9783,1.0,1.1936,4.1781,0.9936,0.5875,5.1267,0.0,0.0,0.0,0.0,0.0,0.0,8.650974,0,0,3
1712,parallel5,535.5263,1.5,1.6554,0.5372,1.6379,1.0481,2.544,0.0,0.0,0.0,0.0,0.0,0.5849625,9.064814,0,0,3
3781,series3_parallel2,468.1453,2.0,4.599,3.9333,2.2724,1.3621,3.0136,0.0,0.0,0.0,0.0,0.0,1.0,8.870812,3,2,2
2222,series2x2_parallel1,576.7941,2.0,2.7683,5.9928,2.114,1.1248,2.4123,0.0,0.0,0.0,0.0,0.0,1.0,9.171912,1,1,1
219,series3_parallel2,412.9152,1.5,2.1929,1.2983,0.389,1.3848,1.8219,0.0,0.0,0.0,0.0,0.0,0.5849625,8.689702,3,2,2
3845,parallel5,110.5689,2.0,2.9419,0.8046,2.5747,0.3808,5.4724,0.0,0.0,0.0,0.0,0.0,1.0,6.7888017,0,0,3
4020,parallel5,110.7455,0.1667,0.3426,3.0128,1.2217,3.0199,1.8846,0.0,0.0,0.0,0.0,0.0,-2.584674,6.7911043,0,0,3
1277,series3_parallel2,168.1237,2.0,3.1201,0.6298,2.3882,4.0457,2.3584,0.0,0.0,0.0,0.0,0.0,1.0,7.393379,3,2,2
2002,series2x2_parallel1,344.6673,0.1667,4.7127,1.4182,4.1844,0.7951,5.5205,0.0,0.0,0.0,0.0,0.0,-2.584674,8.429061,1,1,1
1177,series3,110.362,0.125,0.9557,2.3334,0.5093,1.4494,2.3752,0.0,0.0,0.0,0.0,0.0,-3.0,6.7861,2,2,0
3782,series2x2_parallel1,174.8323,0.1667,2.8877,1.515,1.8557,2.7163,1.695,0.0,0.0,0.0,0.0,0.0,-2.584674,7.449828,1,1,1
751,parallel5,776.5637,0.125,0.805,1.7318,2.4567,3.1117,0.9779,0.0,0.0,0.0,0.0,0.0,-3.0,9.600961,0,0,3
530,series3,290.5822,0.2,1.5166,0.5216,0.5771,1.263,0.9053,0.0,0.0,0.0,0.0,0.0,-2.321928,8.182802,2,2,0
3113,series3,86.9248,0.125,2.8364,1.1464,1.5482,2.596,0.3454,0.0,0.0,0.0,0.0,0.0,-3.0,6.4416957,2,2,0
3206,series3_parallel2,327.6539,0.5,3.4104,1.7142,2.243,2.2091,0.4886,0.0,0.0,0.0,0.0,0.0,-1.0,8.356029,3,2,2
1188,series3,80.472,0.3333,0.6915,2.5182,5.8658,3.6958,2.2947,0.0,0.0,0.0,0.0,0.0,-1.5851068,6.330415,2,2,0
2677,series3_parallel2,83.4689,1.5,4.5406,1.1577,1.0937,1.4236,2.2217,0.0,0.0,0.0,0.0,0.0,0.5849625,6.383167,3,2,2
2262,series3_parallel2,114.8345,4.0,0.4595,2.6734,3.0502,1.2591,4.1185,0.0,0.0,0.0,0.0,0.0,2.0,6.8434124,3,2,2
2276,series3_parallel2,131.6589,0.2,3.3314,1.0183,1.5657,2.9664,2.2507,0.0,0.0,0.0,0.0,0.0,-2.321928,7.0406613,3,2,2
3570,series3_parallel2,120.0034,0.25,3.4159,1.9711,1.4935,2.0737,1.3238,0.0,0.0,0.0,0.0,0.0,-2.0,6.9069314,3,2,2
985,parallel5,194.7434,1.0,3.8549,2.268,1.5795,3.7969,1.8837,0.0,0.0,0.0,0.0,0.0,0.0,7.6054306,0,0,3
2406,series2x2_parallel1,562.5891,2.0,0.3372,3.4454,4.1388,3.6693,1.8961,0.0,0.0,0.0,0.0,0.0,1.0,9.135938,1,1,1
2443,series3,80.2249,1.0,2.3554,0.3526,0.1608,1.5846,1.3355,0.0,0.0,0.0,0.0,0.0,0.0,6.3259783,2,2,0
3965,series2x2_parallel1,340.84,0.2,3.2746,0.9845,0.2331,3.0334,0.1667,0.0,0.0,0.0,0.0,0.0,-2.321928,8.4129505,1,1,1
2134,parallel5,270.0548,2.0,2.6076,2.3788,5.4044,5.2072,3.5472,0.0,0.0,0.0,0.0,0.0,1.0,8.077108,0,0,3
3998,parallel5,194.3525,0.6667,3.8009,5.3814,1.8382,4.2763,0.6992,0.0,0.0,0.0,0.0,0.0,-0.58489037,7.602532,0,0,3
1210,series3,421.4725,0.1667,3.2945,1.72,1.5127,4.1264,0.3607,0.0,0.0,0.0,0.0,0.0,-2.584674,8.719295,2,2,0
2832,parallel5,327.9366,4.0,3.5708,0.3498,2.5668,3.8164,5.9021,0.0,0.0,0.0,0.0,0.0,2.0,8.357273,0,0,3
2538,series3_parallel2,291.0045,1.0,1.8187,0.3236,4.1944,4.0829,0.7155,0.0,0.0,0.0,0.0,0.0,0.0,8.184897,3,2,2
2823,parallel5,72.2322,0.25,4.0035,0.1703,1.3701,0.7766,2.4825,0.0,0.0,0.0,0.0,0.0,-2.0,6.17457,0,0,3
129,series3_parallel2,190.7374,3.0,5.4659,3.0915,3.3578,0.2011,3.4119,0.0,0.0,0.0,0.0,0.0,1.5849625,7.5754437,3,2,2
1892,parallel5,148.8896,0.5,1.926,4.5169,0.8109,2.1447,1.9468,0.0,0.0,0.0,0.0,0.0,-1.0,7.218099,0,0,3
1813,series3_parallel2,107.5915,4.0,0.5021,3.689,2.8657,0.9173,1.4813,0.0,0.0,0.0,0.0,0.0,2.0,6.74942,3,2,2
1498,series3_parallel2,214.3675,0.1667,3.2151,0.2548,1.8194,0.6817,0.9677,0.0,0.0,0.0,0.0,0.0,-2.584674,7.7439423,3,2,2
2515,parallel5,163.3644,3.0,3.6257,1.5754,1.5068,0.6395,0.4811,0.0,0.0,0.0,0.0,0.0,1.5849625,7.3519497,0,0,3
105,series2x2_parallel1,155.3872,0.125,3.5761,1.7867,0.3032,3.0512,2.1841,0.0,0.0,0.0,0.0,0.0,-3.0,7.279724,1,1,1
1191,series3,68.954,3.0,3.3761,3.8249,3.8302,2.8687,2.689,0.0,0.0,0.0,0.0,0.0,1.5849625,6.1075625,2,2,0
3359,series3_parallel2,251.829,2.0,3.5132,1.3003,4.058,0.2351,1.1791,0.0,0.0,0.0,0.0,0.0,1.0,7.9763007,3,2,2
376,series3,371.1475,0.1667,1.4865,4.8472,1.0519,0.4558,3.9864,0.0,0.0,0.0,0.0,0.0,-2.584674,8.535849,2,2,0
885,series2x2_parallel1,597.0587,1.0,2.7194,4.1882,2.999,4.1771,0.8909,0.0,0.0,0.0,0.0,0.0,0.0,9.221729,1,1,1
400,parallel5,127.6591,1.0,1.2693,2.648,3.2414,0.2778,0.9932,0.0,0.0,0.0,0.0,0.0,0.0,6.9961524,0,0,3
296,series3,286.0716,0.5,1.5674,1.5641,4.4322,1.544,4.8726,0.0,0.0,0.0,0.0,0.0,-1.0,8.160233,2,2,0
470,series2x2_parallel1,122.983,0.3333,3.8296,0.9376,0.9268,3.4771,5.4032,0.0,0.0,0.0,0.0,0.0,-1.5851068,6.942315,1,1,1
117,series3_parallel2,288.5128,3.0,3.4978,2.0971,2.2618,3.1845,1.0909,0.0,0.0,0.0,0.0,0.0,1.5849625,8.172491,3,2,2
240,series2x2_parallel1,248.705,4.0,5.7985,2.7731,3.9861,3.514,3.5992,0.0,0.0,0.0,0.0,0.0,2.0,7.9582915,1,1,1
3356,series3,401.8368,0.5,0.6928,2.3088,0.2166,2.6037,0.2584,0.0,0.0,0.0,0.0,0.0,-1.0,8.650466,2,2,0
3638,parallel5,233.797,0.125,0.8869,0.323,3.4593,2.919,5.4213,0.0,0.0,0.0,0.0,0.0,-3.0,7.8691125,0,0,3
3190,series3_parallel2,569.3453,0.25,1.4082,1.5347,3.0698,2.2456,3.7424,0.0,0.0,0.0,0.0,0.0,-2.0,9.15316,3,2,2
3855,parallel5,202.4996,1.5,0.4495,1.3761,3.2761,0.2885,3.6567,0.0,0.0,0.0,0.0,0.0,0.5849625,7.661775,0,0,3
3847,series2x2_parallel1,389.0742,1.5,2.1865,2.4426,4.1734,4.0315,0.591,0.0,0.0,0.0,0.0,0.0,0.5849625,8.603902,1,1,1
1183,series3_parallel2,509.5523,2.0,2.0692,3.1298,3.1859,2.3615,5.476,0.0,0.0,0.0,0.0,0.0,1.0,8.993087,3,2,2
2115,series3_parallel2,588.5692,0.5,0.8959,5.6525,1.5975,3.3165,1.7866,0.0,0.0,0.0,0.0,0.0,-1.0,9.201068,3,2,2
371,series3_parallel2,173.3704,3.0,3.3815,4.0258,3.061,0.6847,4.8266,0.0,0.0,0.0,0.0,0.0,1.5849625,7.437714,3,2,2
1725,series3,83.5001,1.5,2.7717,0.9055,3.0553,1.4073,2.6165,0.0,0.0,0.0,0.0,0.0,0.5849625,6.383706,2,2,0
99,series3_parallel2,204.0774,0.5,1.4189,1.4851,0.9833,0.7645,2.6655,0.0,0.0,0.0,0.0,0.0,-1.0,7.6729727,3,2,2
3317,parallel5,688.4385,0.6667,1.5716,1.01,1.4181,3.9877,0.814,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.427184,0,0,3
2787,series3_parallel2,406.7039,0.6667,0.6407,3.8484,4.8216,3.2072,0.6976,0.0,0.0,0.0,0.0,0.0,-0.58489037,8.667835,3,2,2
981,series2x2_parallel1,546.1416,0.3333,5.2198,5.1307,1.9185,4.0179,0.3499,0.0,0.0,0.0,0.0,0.0,-1.5851068,9.093131,1,1,1
282,series3,171.1984,2.0,3.3906,1.5318,1.8724,0.2803,1.0892,0.0,0.0,0.0,0.0,0.0,1.0,7.419525,2,2,0
2454,series3,327.5347,3.0,3.2972,4.0706,0.7453,1.8709,0.1727,0.0,0.0,0.0,0.0,0.0,1.5849625,8.355504,2,2,0
660,series2x2_parallel1,463.4007,4.0,5.0643,3.708,4.0508,0.327,0.2015,0.0,0.0,0.0,0.0,0.0,2.0,8.856116,1,1,1
1338,series3_parallel2,156.4937,3.0,5.0671,4.5139,0.6096,1.1234,1.4668,0.0,0.0,0.0,0.0,0.0,1.5849625,7.289961,3,2,2
2670,series2x2_parallel1,864.5162,0.3333,1.9447,1.5783,4.2166,2.2855,4.182,0.0,0.0,0.0,0.0,0.0,-1.5851068,9.755749,1,1,1
3550,series3_parallel2,104.8302,4.0,2.6577,0.3598,0.7539,3.9962,1.5546,0.0,0.0,0.0,0.0,0.0,2.0,6.7119107,3,2,2
3020,series2x2_parallel1,71.8215,2.0,1.5093,0.2653,1.2207,3.5645,0.5476,0.0,0.0,0.0,0.0,0.0,1.0,6.166344,1,1,1
1553,series3,838.2358,0.6667,3.5049,1.7924,3.2044,0.3907,1.2401,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.711212,2,2,0
1223,series3,351.6486,4.0,0.7148,1.1197,2.1406,4.0476,3.2,0.0,0.0,0.0,0.0,0.0,2.0,8.457991,2,2,0
3995,series3,247.5756,4.0,0.2278,1.9574,1.404,3.0397,5.5533,0.0,0.0,0.0,0.0,0.0,2.0,7.9517255,2,2,0
1709,parallel5,621.0522,0.1667,2.9062,3.9409,1.7104,4.9534,1.9597,0.0,0.0,0.0,0.0,0.0,-2.584674,9.278571,0,0,3
1367,series3,545.3609,0.6667,2.3998,1.4057,1.6652,0.7695,1.412,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.091067,2,2,0
1488,series3_parallel2,88.0696,0.5,4.9481,2.0955,4.1759,1.7217,1.7957,0.0,0.0,0.0,0.0,0.0,-1.0,6.4605722,3,2,2
1680,parallel5,749.5335,3.0,2.3893,0.1708,3.222,0.9521,1.9108,0.0,0.0,0.0,0.0,0.0,1.5849625,9.5498495,0,0,3
1989,series3,259.639,0.5,0.5426,1.7403,3.0808,1.8168,2.9301,0.0,0.0,0.0,0.0,0.0,-1.0,8.020364,2,2,0
1324,series3_parallel2,471.4635,0.2,5.363,1.7105,2.3896,0.6243,3.2257,0.0,0.0,0.0,0.0,0.0,-2.321928,8.881002,3,2,2
393,series3_parallel2,719.467,0.25,5.6584,3.6174,1.5182,0.8555,3.565,0.0,0.0,0.0,0.0,0.0,-2.0,9.490785,3,2,2
160,series3_parallel2,500.1235,0.5,0.8195,3.3727,3.0304,2.1583,0.5244,0.0,0.0,0.0,0.0,0.0,-1.0,8.966141,3,2,2
2665,series2x2_parallel1,381.8565,0.125,0.8391,0.9565,3.2271,2.4391,3.3897,0.0,0.0,0.0,0.0,0.0,-3.0,8.576887,1,1,1
3973,series2x2_parallel1,521.1738,0.2,1.4492,0.8657,2.4593,3.7754,1.6526,0.0,0.0,0.0,0.0,0.0,-2.321928,9.02562,1,1,1
2664,series3_parallel2,634.6761,0.25,0.4075,5.9837,0.8725,0.9807,2.2457,0.0,0.0,0.0,0.0,0.0,-2.0,9.309876,3,2,2
3802,series3,614.76,0.6667,5.4307,1.1159,5.5488,3.0475,4.2989,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.26388,2,2,0
3935,series3_parallel2,375.0721,0.125,5.4587,3.7323,1.2247,2.2458,4.073,0.0,0.0,0.0,0.0,0.0,-3.0,8.551024,3,2,2
2686,series3,73.8712,0.125,2.4816,5.0993,3.3161,1.7979,1.2258,0.0,0.0,0.0,0.0,0.0,-3.0,6.20694,2,2,0
3430,series3_parallel2,616.5757,0.6667,4.9619,0.2943,5.1984,0.545,1.0872,0.0,0.0,0.0,0.0,0.0,-0.58489037,9.268134,3,2,2
2780,series3,290.1687,1.5,2.4974,4.1475,3.4902,1.3254,0.8731,0.0,0.0,0.0,0.0,0.0,0.5849625,8.180748,2,2,0
3342,parallel5,223.0379,0.6667,0.6113,2.522,2.4491,1.5388,2.2183,0.0,0.0,0.0,0.0,0.0,-0.58489037,7.801145,0,0,3
1718,parallel5,175.9682,4.0,1.1121,4.9622,0.427,0.5323,1.0883,0.0,0.0,0.0,0.0,0.0,2.0,7.459171,0,0,3
3820,series2x2_parallel1,479.4832,2.0,0.7121,0.9422,0.1826,5.4309,0.2823,0.0,0.0,0.0,0.0,0.0,1.0,8.905336,1,1,1
920,series3,208.7306,0.3333,0.2003,4.1381,2.9123,0.22,2.3916,0.0,0.0,0.0,0.0,0.0,-1.5851068,7.705498,2,2,0
2351,parallel5,425.6229,0.2,2.6965,3.3561,1.743,2.9879,3.8281,0.0,0.0,0.0,0.0,0.0,-2.321928,8.733432,0,0,3
1688,series2x2_parallel1,382.2559,0.6667,0.9042,3.4421,1.2571,0.6376,1.1416,0.0,0.0,0.0,0.0,0.0,-0.58489037,8.578395,1,1,1
2659,parallel5,567.1394,0.2,3.0566,5.8133,3.9462,3.7955,0.5005,0.0,0.0,0.0,0.0,0.0,-2.321928,9.147559,0,0,3
3738,series3,341.3288,4.0,1.2973,5.3118,4.2036,4.7299,5.3715,0.0,0.0,0.0,0.0,0.0,2.0,8.415018,2,2,0
2255,parallel5,138.8665,0.6667,0.6139,1.2912,5.9171,0.8626,0.5104,0.0,0.0,0.0,0.0,0.0,-0.58489037,7.1175547,0,0,3
3929,parallel5,854.3732,1.5,2.5185,0.4158,1.0862,2.201,0.7203,0.0,0.0,0.0,0.0,0.0,0.5849625,9.738723,0,0,3
