id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,freq_log2,ratio_log2,ratio_idx,algorithm_idx
1300,series3,422.3497,0.25,1.3236,0.3614,0.7414,1.3634,3.3351,-9.0712,0.0676,0.0,0.0,-0.0692,8.722294,-2.0,3,2
1671,parallel5,225.9026,4.0,4.6936,1.1634,0.5382,3.5411,3.2236,3.6171,0.1085,0.0,0.0,0.0752,7.819557,2.0,11,0
294,parallel5,95.7254,0.25,2.4722,3.6984,2.2018,1.606,2.6982,-8.965,0.0701,0.0,0.0,0.1136,6.58083,-2.0,3,0
267,parallel5,141.7362,1.5,3.1746,1.4346,2.1517,0.8299,0.8511,-8.6407,0.0885,0.0,0.0,0.0082,7.1470647,0.5849625,8,0
2638,series2x2_parallel1,760.5179,1.0,0.3061,1.1448,3.8571,0.6585,2.8139,-1.147,0.114,2.1938,4.8242,-0.0576,9.570838,0.0,7,1
857,series3_parallel2,76.3851,2.0,5.3327,4.7859,4.1618,1.6693,3.4378,-3.4294,0.0527,0.0,0.0,-0.2377,6.2552195,1.0,9,3
521,series3,427.4322,4.0,4.0849,1.9424,0.7154,2.8515,0.9285,10.721,0.1824,2.9727,1.9988,0.2435,8.739552,2.0,11,2
2868,series3_parallel2,601.1894,0.2,2.7056,2.8861,0.3256,1.3592,0.7844,-9.5266,0.0086,0.0,0.0,0.1269,9.231676,-2.321928,2,3
2002,series2x2_parallel1,563.9185,2.0,0.9551,2.2833,2.1602,2.0826,4.798,3.5059,0.1241,3.9891,5.961,-0.223,9.139343,1.0,9,1
822,series3_parallel2,202.1265,1.5,1.1207,0.651,1.4703,1.7693,5.9443,-6.7433,0.1602,0.0,0.0,0.021,7.659115,0.5849625,8,3
1843,series2x2_parallel1,187.2066,0.5,0.3754,0.5257,5.1552,4.999,2.4476,4.9043,0.2264,0.0,0.0,-0.1826,7.5484877,-1.0,5,1
877,series3,122.9368,1.0,4.0674,0.1783,3.8083,2.2112,1.129,-5.7965,0.0342,0.0,0.0,-0.1152,6.941773,0.0,7,2
544,parallel5,771.4801,0.125,2.4131,2.0126,4.1034,2.3791,2.9869,3.0456,0.0202,3.5293,3.8984,-0.1044,9.591485,-3.0,0,0
560,parallel5,172.6101,0.125,1.2002,0.7674,0.8772,3.6528,3.7545,-0.0432,0.1171,0.0,0.0,0.0916,7.431373,-3.0,0,0
1217,series2x2_parallel1,564.8969,0.6667,0.1983,4.7233,1.6083,1.4769,3.3765,3.9119,0.0438,0.0,0.0,0.2122,9.141844,-0.58489037,6,1
1484,series2x2_parallel1,246.5377,1.5,1.7098,1.1805,1.6146,1.9817,1.8406,-0.0288,0.1801,0.0,0.0,-0.1261,7.9456644,0.5849625,8,1
480,series2x2_parallel1,88.7264,0.5,2.5542,5.8159,1.7773,2.679,1.2464,8.5894,0.1023,3.0811,2.6613,0.086,6.4712915,-1.0,5,1
2337,parallel5,158.4658,0.5,0.8918,1.255,3.2291,1.632,1.5116,-3.3196,0.0244,0.7391,6.9632,-0.0545,7.3080277,-1.0,5,0
377,series2x2_parallel1,99.3317,0.1667,0.1681,1.7777,1.9153,0.6592,5.553,9.8325,0.0242,1.3412,0.6803,0.0351,6.6341825,-2.584674,1,1
3047,parallel5,600.6329,0.6667,3.0104,1.3347,3.5691,2.9101,2.158,-11.46,0.0017,3.3469,5.9067,0.0583,9.23034,-0.58489037,6,0
619,parallel5,429.0857,0.25,1.0026,1.2832,4.3383,2.3977,1.3785,-7.826,0.1024,0.0,0.0,0.0506,8.745122,-2.0,3,0
1891,series2x2_parallel1,77.5556,4.0,4.0886,2.7236,1.5231,0.3319,0.8768,-1.126,0.0268,2.0525,4.4634,0.2177,6.277159,2.0,11,1
1429,parallel5,560.4211,0.1667,3.9429,1.3651,0.8212,0.9683,3.8462,-3.1686,0.2735,2.8126,2.9157,0.1896,9.130367,-2.584674,1,0
1813,series3_parallel2,469.3693,4.0,5.5372,1.1982,1.3067,1.2603,0.3113,9.7821,0.1292,2.8311,3.6914,0.2002,8.874579,2.0,11,3
2627,series3,540.6766,4.0,2.2246,4.8915,0.5784,1.4156,1.4769,1.6414,0.0659,0.0,0.0,-0.0967,9.078622,2.0,11,2
2503,parallel5,177.7723,0.5,0.2538,0.6893,5.471,4.482,3.8268,8.9842,0.0939,1.3861,2.4114,0.1573,7.4738865,-1.0,5,0
2075,series2x2_parallel1,110.9411,2.0,2.1286,3.8871,0.4925,1.2687,1.2353,-4.4895,0.1311,0.0,0.0,-0.0349,6.79365,1.0,9,1
2691,series3,545.3815,0.1667,2.4984,0.6459,5.9458,1.351,3.7121,5.292,0.1075,2.5659,3.9976,0.243,9.091122,-2.584674,1,2
1030,parallel5,246.6974,0.6667,2.5898,1.2716,0.9998,3.8348,4.1698,0.0572,0.0717,1.8552,6.0114,0.0363,7.9465985,-0.58489037,6,0
1012,parallel5,90.4592,1.5,0.3666,2.0627,1.6807,1.4232,1.8995,11.2979,0.0284,2.699,5.4032,0.1002,6.499195,0.5849625,8,0
583,series3,362.3115,0.3333,1.5889,2.7322,2.4487,0.7552,4.1848,10.2371,0.0688,0.0,0.0,-0.1502,8.501087,-1.5851068,4,2
2491,series3_parallel2,148.8314,2.0,0.3041,1.0543,3.0281,1.3352,0.7313,-11.4501,0.1542,2.6387,6.3116,0.1019,7.217535,1.0,9,3
2307,series3,85.3903,0.3333,1.6469,0.4681,0.7983,2.8125,1.1925,-1.5738,0.1953,0.0,0.0,-0.1461,6.4160004,-1.5851068,4,2
2379,series2x2_parallel1,320.6894,1.5,2.8797,3.4584,3.2835,0.427,0.8147,-7.588,0.071,1.57,0.5091,-0.0762,8.325033,0.5849625,8,1
1850,parallel5,869.4483,1.5,5.0352,5.1202,3.192,3.566,3.536,-2.9391,0.2396,0.0,0.0,-0.1696,9.763956,0.5849625,8,0
2778,parallel5,151.313,3.0,0.6044,1.6748,5.6334,0.3368,0.816,11.94,0.1954,0.0,0.0,0.1404,7.241392,1.5849625,10,0
2706,series3_parallel2,586.56,0.25,1.7514,0.9202,4.0377,2.4104,4.051,-1.7408,0.2445,1.5989,7.1786,-0.0592,9.196135,-2.0,3,3
2084,parallel5,761.1214,0.25,1.6351,1.2554,1.8709,3.5945,0.2426,-4.3603,0.083,2.7204,3.0951,-0.1586,9.571982,-2.0,3,0
769,series3,610.0833,1.5,1.3106,5.6466,3.2567,1.4863,5.8595,2.3078,0.0245,0.0,0.0,-0.0831,9.252862,0.5849625,8,2
1341,series2x2_parallel1,419.8474,1.5,2.3596,1.4556,3.5341,3.9898,5.813,-10.0793,0.2416,0.0,0.0,-0.1371,8.713721,0.5849625,8,1
1403,series3,243.2925,1.5,1.6651,2.1682,3.749,3.3931,0.2791,7.0267,0.2516,1.8164,2.6366,0.0806,7.926548,0.5849625,8,2
1449,series3,147.9066,1.0,1.3633,0.3987,3.0445,3.582,5.9655,0.8507,0.02,0.0,0.0,-0.1774,7.208543,0.0,7,2
1432,parallel5,108.2497,0.5,1.9688,1.7808,2.737,0.3428,1.5312,4.1189,0.1066,0.0,0.0,0.1108,6.7582192,-1.0,5,0
1912,series3_parallel2,105.7253,0.1667,5.1474,3.5076,3.1008,2.5146,1.838,-1.6326,0.0853,0.0,0.0,-0.1349,6.724177,-2.584674,1,3
2739,parallel5,484.4136,0.125,2.3186,3.8003,1.7134,0.4943,1.3234,10.017,0.0802,0.0,0.0,-0.0744,8.920095,-3.0,0,0
436,parallel5,735.6705,0.125,2.2708,0.7724,1.3072,2.0774,1.1658,2.5953,0.082,0.0,0.0,-0.0089,9.522916,-3.0,0,0
779,series3,877.8202,3.0,3.3249,1.1086,0.8548,3.1244,0.9544,-5.5888,0.0275,0.0,0.0,0.2024,9.7777815,1.5849625,10,2
1916,series3_parallel2,456.7643,0.2,4.7979,0.8117,1.6602,3.92,1.4136,3.1287,0.0337,0.0,0.0,-0.0063,8.835306,-2.321928,2,3
1338,parallel5,691.2553,2.0,1.0461,4.81,3.247,1.6828,0.9518,-7.4544,0.0441,2.5402,3.8575,0.0391,9.433075,1.0,9,0
1690,series3_parallel2,206.4761,1.5,1.8375,0.8404,4.4681,1.4198,1.7129,10.6461,0.1065,3.9495,4.4156,-0.0456,7.689831,0.5849625,8,3
1468,series2x2_parallel1,352.6645,0.5,5.1445,4.1195,0.157,5.8672,1.6938,10.577,0.0335,0.0,0.0,0.1917,8.4621525,-1.0,5,1
699,series2x2_parallel1,125.285,0.6667,0.7938,1.4513,2.6857,2.2487,1.578,10.6909,0.0188,1.8078,2.3249,0.1867,6.96907,-0.58489037,6,1
1360,parallel5,219.2578,2.0,3.4704,2.3717,0.786,0.2816,4.6279,-9.3432,0.1696,0.0,0.0,0.0306,7.7764845,1.0,9,0
836,series3,163.3712,0.2,1.7725,1.3907,0.4619,2.2038,3.2592,9.3583,0.1402,0.9009,6.4092,0.1709,7.35201,-2.321928,2,2
636,parallel5,186.2407,0.2,0.6023,1.9553,1.8525,2.6628,0.8699,5.1584,0.1807,3.8623,5.4919,0.0317,7.5410247,-2.321928,2,0
1769,series3,66.6586,3.0,4.5638,1.5708,2.3153,0.2755,1.2773,3.0504,0.0137,1.0871,3.0435,0.0906,6.058719,1.5849625,10,2
1282,series3_parallel2,435.465,1.0,0.8476,2.2194,0.5681,0.5069,0.7911,-5.1415,0.0334,0.0,0.0,-0.129,8.766413,0.0,7,3
1443,series2x2_parallel1,70.2231,1.5,0.4038,0.7872,1.0698,1.2575,4.8678,8.8633,0.2066,0.0,0.0,0.105,6.133874,0.5849625,8,1
825,series3,530.0612,1.5,0.792,4.7672,4.6825,5.4287,5.8073,4.4817,0.0761,0.0,0.0,0.0605,9.050015,0.5849625,8,2
1410,series3_parallel2,485.9573,1.0,0.3805,3.3057,3.7883,0.8322,3.4567,-2.1441,0.2042,3.3768,0.9725,-0.0578,8.9246855,0.0,7,3
306,series3,682.1101,3.0,1.4071,0.422,0.2236,1.2041,2.9086,-9.0905,0.0906,0.0,0.0,0.1398,9.413861,1.5849625,10,2
2008,series3_parallel2,763.5833,1.5,0.5792,1.5076,0.5264,0.2051,2.3983,11.3843,0.063,1.5092,5.8536,-0.1982,9.576642,0.5849625,8,3
72,series2x2_parallel1,357.7949,0.5,1.5118,2.0338,1.8053,1.1955,3.1145,7.5981,0.1731,2.5998,5.7333,-0.0684,8.482989,-1.0,5,1
744,parallel5,80.6879,1.5,4.2457,3.2072,1.9746,1.2104,4.1789,10.3818,0.0047,0.0,0.0,-0.0966,6.3342805,0.5849625,8,0
1786,series3,78.9445,1.0,1.6513,4.1777,0.8775,0.5038,5.313,-5.4453,0.0733,2.8122,2.3062,0.0433,6.302767,0.0,7,2
2653,series3_parallel2,83.2729,1.0,1.0223,2.0151,1.1659,3.0763,1.2547,3.1896,0.1045,0.0,0.0,0.0932,6.379775,0.0,7,3
2293,parallel5,138.8365,4.0,3.9059,1.1239,1.4881,1.2643,3.7779,4.4985,0.1679,0.0,0.0,-0.0808,7.1172433,2.0,11,0
2224,series3_parallel2,252.2261,2.0,1.1066,4.2822,1.6255,5.796,4.5747,8.8964,0.1255,0.0,0.0,0.2408,7.978574,1.0,9,3
2186,series3,276.8508,1.5,2.3313,4.5388,3.4478,3.4942,1.0889,7.2272,0.1935,0.0,0.0,0.1017,8.112965,0.5849625,8,2
1076,series3,530.4334,0.1667,0.1921,1.2763,1.7972,0.5775,1.0751,-3.3629,0.026,1.0028,5.6517,0.0993,9.051028,-2.584674,1,2
2228,parallel5,473.1839,0.2,1.9806,5.8828,1.7253,1.4821,0.773,-2.7298,0.063,0.0,0.0,-0.0847,8.886257,-2.321928,2,0
838,series3,644.9325,1.0,4.1347,3.6555,5.0618,3.4785,1.9612,-7.9805,0.1811,0.0,0.0,0.1044,9.333004,0.0,7,2
1161,series3_parallel2,141.603,3.0,0.7402,0.5944,3.8097,2.2328,3.7478,3.2404,0.0233,2.6559,1.2858,0.0564,7.145708,1.5849625,10,3
2756,series3_parallel2,170.0843,1.0,4.29,3.9993,4.2388,3.2957,3.4551,-4.1624,0.1335,0.0,0.0,0.0731,7.410106,0.0,7,3
2385,series3_parallel2,97.6352,0.6667,0.9898,0.8558,0.6608,3.686,2.0801,-5.8683,0.1125,0.0,0.0,0.1629,6.6093297,-0.58489037,6,3
1709,series3_parallel2,300.5344,0.2,5.1466,2.564,1.6526,1.2039,4.5483,5.236,0.0936,2.2163,6.3567,-0.1587,8.231386,-2.321928,2,3
743,series2x2_parallel1,409.1818,0.6667,5.8077,3.6903,2.4913,2.5309,2.0848,-5.2893,0.0879,0.0,0.0,-0.0681,8.676599,-0.58489037,6,1
1261,parallel5,263.548,0.125,1.5274,2.1044,3.8608,0.7746,3.0297,3.0027,0.0905,0.5568,4.9689,-0.1348,8.041922,-3.0,0,0
957,parallel5,510.7048,3.0,2.8111,0.577,2.3537,3.138,1.0815,-6.8665,0.0071,0.0,0.0,0.0128,8.9963455,1.5849625,10,0
800,series3_parallel2,667.2729,0.3333,0.6542,0.9835,1.9607,1.7817,0.5697,-11.1417,0.232,0.8634,0.553,0.1863,9.3821335,-1.5851068,4,3
1616,series3,383.9256,0.2,1.272,1.2707,4.2601,1.4081,0.2792,-11.1349,0.1156,0.0,0.0,0.0031,8.584682,-2.321928,2,2
2803,series2x2_parallel1,836.8158,0.1667,1.749,0.7894,4.7133,0.7319,2.3005,5.6649,0.0935,3.4394,7.0338,-0.0741,9.708766,-2.584674,1,1
2600,series3,233.8642,0.125,2.9687,1.111,2.6619,2.2546,2.3104,1.7723,0.0123,3.6627,0.8133,0.0414,7.8695273,-3.0,0,2
869,series3_parallel2,78.2332,3.0,2.1263,3.9742,2.9106,2.8894,1.7256,3.8792,0.0088,0.0,0.0,-0.1282,6.289709,1.5849625,10,3
49,series3_parallel2,276.9989,1.0,3.0473,0.3969,3.1984,4.3804,1.4362,10.0119,0.084,0.0,0.0,0.1408,8.113736,0.0,7,3
1268,series2x2_parallel1,655.2543,1.5,1.2956,4.7008,1.8399,0.8248,3.1839,11.2718,0.1065,2.5142,2.6213,0.1915,9.355911,0.5849625,8,1
296,parallel5,173.6236,0.1667,2.4109,0.9952,0.8944,0.7564,2.4552,-9.9658,0.1672,0.0,0.0,-0.1349,7.4398193,-2.584674,1,0
2946,series3,528.8666,0.25,0.6476,5.477,2.9789,4.0319,3.2917,-8.6523,0.0613,0.0,0.0,0.111,9.04676,-2.0,3,2
1612,parallel5,153.5356,1.0,0.1993,1.4301,0.3934,2.6651,4.0606,-7.9499,0.0536,3.2693,3.0048,-0.188,7.262429,0.0,7,0
2210,series3_parallel2,71.8301,0.125,0.5105,4.4211,0.9027,2.4405,2.9092,-9.8526,0.1413,0.0,0.0,0.2248,6.166517,-3.0,0,3
2043,series3,874.2087,3.0,2.5198,1.7689,0.8901,3.4411,0.899,-6.1839,0.1586,2.7047,2.596,0.1176,9.771833,1.5849625,10,2
1975,series2x2_parallel1,93.8929,3.0,3.7434,3.1206,3.8852,5.931,1.4569,-4.5375,0.2084,1.0061,7.3891,-0.0816,6.552944,1.5849625,10,1
2508,series2x2_parallel1,306.6184,3.0,5.9462,1.4951,2.067,0.4261,3.1968,3.3108,0.2373,1.7046,3.6945,0.2233,8.260301,1.5849625,10,1
2401,series2x2_parallel1,81.4152,1.0,0.8176,3.6252,0.9608,0.4465,2.2113,6.0656,0.1482,0.0,0.0,-0.0479,6.347226,0.0,7,1
386,series3,105.0052,0.125,4.9714,4.9862,5.2266,3.1462,4.5574,11.1208,0.0238,2.1857,4.2841,0.1419,6.714317,-3.0,0,2
1094,series2x2_parallel1,492.0206,0.25,0.594,3.8832,5.8116,2.1238,1.7836,1.8813,0.052,0.0,0.0,0.0537,8.9425745,-2.0,3,1
1285,parallel5,110.4716,0.3333,2.251,0.4966,3.0653,3.3305,2.9735,-8.6075,0.0235,3.8967,6.1796,0.0173,6.787532,-1.5851068,4,0
2860,parallel5,219.1211,0.3333,1.7337,1.21,4.1645,0.8116,3.1548,5.4246,0.0437,0.0,0.0,-0.2244,7.7755847,-1.5851068,4,0
283,series3_parallel2,382.9573,3.0,0.8547,0.3508,2.9894,1.9043,1.9127,4.1544,0.2566,0.0,0.0,0.1722,8.581039,1.5849625,10,3
1061,series2x2_parallel1,310.6056,3.0,2.6221,5.82,3.817,3.0134,5.2051,-1.9794,0.1119,2.1395,2.1092,-0.2397,8.27894,1.5849625,10,1
2292,parallel5,100.2198,0.1667,0.415,2.3219,1.8671,1.2747,3.8683,0.7219,0.0626,1.189,7.5105,-0.0873,6.6470237,-2.584674,1,0
362,series3_parallel2,835.3684,4.0,0.3417,4.6753,1.6323,1.7757,1.825,3.5675,0.1167,0.0,0.0,0.2232,9.706268,2.0,11,3
1754,series3_parallel2,344.9513,2.0,5.4696,1.0805,1.614,1.3584,0.9419,-1.2551,0.0219,3.0787,4.1267,0.0687,8.430249,1.0,9,3
487,series2x2_parallel1,396.9963,1.5,2.3846,4.6217,5.8684,0.8527,1.1029,5.3609,0.0579,0.0,0.0,-0.2299,8.632982,0.5849625,8,1
66,series3,686.6477,1.0,4.1455,0.3412,3.9367,0.3784,2.5888,-5.661,0.0976,3.4829,2.8817,0.0884,9.423427,0.0,7,2
2679,series3_parallel2,566.2043,0.25,4.7284,0.9358,2.4859,3.0712,2.8536,-5.21,0.1172,3.9039,5.8253,0.1938,9.145179,-2.0,3,3
2041,series2x2_parallel1,680.1173,0.125,0.3265,0.7256,5.3763,0.4611,1.4924,-8.2634,0.0719,0.0,0.0,-0.0327,9.409639,-3.0,0,1
2694,series3,111.0738,0.1667,1.8638,4.7572,1.1991,0.2521,2.3013,-6.1939,0.1943,1.3394,3.4092,0.2276,6.795375,-2.584674,1,2
14,parallel5,92.5426,1.5,0.2478,0.5585,2.7425,1.1935,2.7004,-5.3442,0.2322,0.0,0.0,-0.1769,6.532046,0.5849625,8,0
2349,series3_parallel2,78.0421,2.0,0.7128,2.2457,0.2593,1.0836,0.3019,-8.9142,0.0999,0.8356,0.5239,0.1879,6.2861805,1.0,9,3
2670,series2x2_parallel1,199.2687,0.25,3.0823,1.0024,2.6832,0.5225,4.0083,1.0434,0.259,3.929,4.2629,0.1606,7.6385713,-2.0,3,1
2092,parallel5,79.898,0.25,2.1862,1.5719,3.3281,1.469,1.148,-8.5042,0.0439,0.6101,5.838,-0.1757,6.3200874,-2.0,3,0
282,series3_parallel2,101.3491,0.2,3.4132,5.512,1.5487,1.7502,3.2747,2.4713,0.0706,0.946,7.4685,0.1777,6.6631894,-2.321928,2,3
1799,series2x2_parallel1,458.6599,0.3333,1.7062,1.9233,3.733,3.845,3.2136,10.5171,0.2527,0.0,0.0,0.1466,8.841281,-1.5851068,4,1
785,series3_parallel2,128.7038,1.0,1.223,3.9518,4.3176,3.4805,3.1758,8.953,0.1638,1.9574,6.761,-0.015,7.0079107,0.0,7,3
1303,series2x2_parallel1,383.7844,2.0,2.7828,1.7564,3.1789,2.9399,0.5312,-0.115,0.1139,0.0,0.0,0.1509,8.584152,1.0,9,1
2463,series3,628.3173,0.1667,3.3117,3.2643,4.047,0.3047,0.6046,3.8955,0.2289,0.0,0.0,-0.1348,9.295349,-2.584674,1,2
1221,parallel5,83.0849,0.2,0.2568,3.7978,0.2798,3.9736,0.5444,9.8125,0.0926,2.8959,6.5949,0.1253,6.3765144,-2.321928,2,0
1778,series2x2_parallel1,770.1605,0.25,5.4577,2.1102,3.5707,0.2144,0.306,-0.0037,0.1944,0.0,0.0,-0.2144,9.589015,-2.0,3,1
2284,series3,143.5127,0.5,4.2472,3.3212,3.3493,1.69,2.9924,-1.0805,0.04,1.8709,6.2542,0.0079,7.165035,-1.0,5,2
512,series3_parallel2,111.3018,0.1667,3.549,1.3813,3.6904,5.5345,0.2042,-9.1298,0.0599,0.0,0.0,0.0693,6.798333,-2.584674,1,3
2466,parallel5,469.5089,2.0,5.4035,1.412,3.4956,3.6748,4.1629,-3.823,0.002,3.5296,1.491,-0.1027,8.875009,1.0,9,0
459,parallel5,332.1752,4.0,2.3902,2.2491,2.1163,2.0129,3.5359,2.0722,0.1552,0.0,0.0,-0.0149,8.3758,2.0,11,0
687,parallel5,389.0717,0.1667,1.6369,4.3953,2.3083,0.3289,1.4908,-0.6305,0.0449,0.0,0.0,0.0922,8.603892,-2.584674,1,0
2455,parallel5,381.8308,0.125,5.2284,0.2544,1.6246,0.4964,3.1549,-10.9401,0.0596,0.0,0.0,0.0376,8.57679,-3.0,0,0
2556,series2x2_parallel1,120.1988,0.2,0.2496,2.021,0.4333,0.729,0.8498,8.7924,0.2139,2.6781,3.358,0.0719,6.909279,-2.321928,2,1
1008,series3_parallel2,634.6659,1.0,0.2431,2.4669,0.1746,1.4285,0.3033,-8.5766,0.1842,0.0,0.0,-0.0201,9.309854,0.0,7,3
851,series3_parallel2,131.6449,0.3333,3.6646,1.3013,0.6979,3.284,5.1145,-2.8246,0.1889,0.9427,1.4167,-0.1072,7.040508,-1.5851068,4,3
977,series2x2_parallel1,84.5135,0.125,1.495,0.1984,1.9223,4.0825,1.5093,-3.0943,0.09,0.0,0.0,0.1131,6.4011097,-3.0,0,1
397,parallel5,112.4289,0.5,5.3404,0.7156,1.7916,1.812,2.4108,-1.1789,0.0359,2.8088,5.0497,0.1774,6.812869,-1.0,5,0
1547,series3,87.923,3.0,3.5377,2.3343,4.9412,0.9777,2.9819,-11.1316,0.0145,0.0,0.0,0.1565,6.4581685,1.5849625,10,2
112,series2x2_parallel1,108.3359,2.0,2.9352,2.4023,1.9145,0.4195,0.5696,-11.7662,0.0161,2.7073,4.2719,-0.0921,6.7593675,1.0,9,1
1684,series2x2_parallel1,263.4006,1.0,3.2753,0.3429,0.7136,4.0305,2.0028,3.4374,0.1267,0.0,0.0,-0.1376,8.041115,0.0,7,1
2497,series3,75.4746,0.5,1.7224,0.2669,0.2781,0.2059,1.3164,-2.6975,0.1555,3.2021,5.7848,0.1962,6.2379193,-1.0,5,2
1408,series2x2_parallel1,80.4618,4.0,1.8029,3.2988,3.4478,5.476,2.7717,4.1421,0.0168,2.358,2.4236,0.2358,6.330232,2.0,11,1
1024,series3,262.7299,1.5,1.4058,1.3151,0.1699,5.2721,1.5928,-1.9675,0.0337,0.0,0.0,-0.1511,8.0374365,0.5849625,8,2
1396,series2x2_parallel1,812.9355,0.5,2.3512,0.6458,0.7858,0.8539,2.6414,2.603,0.1829,2.652,0.7117,0.1579,9.666997,-1.0,5,1
914,series2x2_parallel1,297.8973,0.125,0.1663,4.4129,4.2565,1.7359,0.8104,2.5183,0.2024,0.0,0.0,-0.245,8.218671,-3.0,0,1
