id,algorithm,frequencia_base,ratio_carrier,index_12,index_23,index_3c,index_4c,index_5c,detune_carrier,feedback,lfo_rate,lfo_depth_cents,key_scaling,env_mod_attack,env_mod_decay,env_mod_sustain,env_mod_release,env_car_attack,env_car_decay,env_car_sustain,env_car_release,algorithm_idx
3861,series2x2_parallel1,552.2916,0.5,4.1611,1.3687,0.8249,4.0798,4.9419,11.7575,0.0489,5.7752,11.0451,0.3726,0.0336,0.035,0.5358,0.1875,0.0219,0.0733,0.9416,0.2235,1
3945,parallel5,129.132,0.125,1.7732,4.8453,5.2451,1.2695,1.5743,5.5204,0.3709,7.2056,12.4471,0.2111,0.0168,0.1575,0.4026,0.23,0.0495,0.157,0.2719,0.0507,0
2586,series2x2_parallel1,93.057,0.3333,3.0388,0.5266,1.2584,2.1211,1.8469,2.4723,0.3422,4.7298,6.0424,0.2525,0.0027,0.4552,0.4129,0.4253,0.0432,0.0577,0.4988,0.2,1
462,series3_parallel2,125.0715,1.0,3.4138,2.454,3.4286,3.7361,5.0538,-2.2384,0.3266,0.7918,10.466,0.0085,0.0062,0.0368,0.2468,0.0234,0.0195,0.091,0.8665,0.1561,3
3852,series2x2_parallel1,876.9656,0.5,4.7149,1.0789,3.591,2.8722,0.5604,-10.342,0.2707,2.4594,3.8086,0.1508,0.0763,0.0763,0.7133,0.1925,0.0027,0.1023,0.5496,0.0361,1
2787,series3,148.288,0.3333,3.2854,0.7773,3.0581,0.983,1.9388,3.2228,0.3917,7.867,3.2902,0.6743,0.0037,0.449,0.309,0.2124,0.0042,0.1522,0.3885,0.054,2
736,parallel5,428.2407,2.0,0.6584,3.6523,1.0166,3.7449,2.9774,-1.0156,0.192,2.5944,9.0867,0.0664,0.0162,0.2314,0.712,0.1127,0.0015,0.111,0.788,0.2922,0
2933,series2x2_parallel1,211.7341,0.125,1.6866,0.4553,3.5619,1.0106,2.58,-8.6394,0.2965,2.2878,3.1558,0.3362,0.0029,0.2703,0.6844,0.0952,0.0975,0.1005,0.1488,0.309,1
1870,series3,101.858,3.0,1.1476,4.4971,0.4362,3.5113,0.5956,1.0986,0.3255,3.9864,7.9804,0.387,0.0025,0.4957,0.2783,0.0201,0.0092,0.3957,0.4839,0.1816,2
2664,series3,67.2481,3.0,3.0575,3.6624,1.6754,3.3991,1.9892,-3.8522,0.1937,4.9805,18.9518,0.4443,0.0298,0.1148,0.6338,0.221,0.0269,0.4226,0.4714,0.2454,2
411,series3_parallel2,283.9605,3.0,0.7539,1.2078,1.6865,2.1841,0.5929,-4.6886,0.3439,4.7068,19.8631,0.4645,0.0078,0.2332,0.2958,0.5278,0.0158,0.5678,0.3576,0.047,3
3155,series3,126.1433,2.0,4.111,0.7219,4.7588,2.1143,5.1359,3.6028,0.0044,0.4903,12.3691,0.0048,0.0087,0.2328,0.7232,0.1466,0.0097,0.1068,0.4583,0.7933,2
1396,series3,291.0968,0.25,2.5128,2.3079,2.8639,1.9368,1.5411,9.7005,0.2912,4.7618,11.5213,0.3357,0.0336,0.2455,0.4608,0.5824,0.0088,0.0951,0.2772,0.4746,2
3294,series3_parallel2,117.4611,1.0,3.6387,3.214,2.1977,4.5149,2.1461,-11.7594,0.2212,1.8141,11.6314,0.3779,0.014,0.0469,0.5225,0.0745,0.0014,0.0495,0.759,0.0688,3
3100,series3_parallel2,659.8338,0.5,1.7813,0.6953,3.9763,2.8053,1.4436,2.0126,0.0846,4.4455,14.3858,0.3933,0.0025,0.052,0.1931,0.2737,0.0012,0.1301,0.7144,0.0308,3
1573,series3_parallel2,502.9591,0.6667,1.9243,2.1744,2.4244,2.7972,0.9381,6.9907,0.0376,1.0521,15.5134,0.764,0.0333,0.0477,0.2009,0.0761,0.0027,0.392,0.3177,0.0671,3
826,parallel5,698.7748,0.3333,3.8868,5.2844,2.6511,3.4186,1.5102,-0.7169,0.031,8.317,9.6056,0.5047,0.0431,0.1193,0.7616,0.0201,0.0252,0.1434,0.6108,0.0797,0
377,parallel5,170.4614,4.0,1.5198,5.7815,5.9412,5.9114,4.8851,8.7317,0.034,3.2385,11.2041,0.57,0.051,0.146,0.3714,0.1114,0.0093,0.2607,0.1407,0.0516,0
3608,series3_parallel2,417.5729,0.25,1.4873,1.2494,0.494,0.8384,1.6167,9.1215,0.06,4.5166,18.4396,0.1806,0.0173,0.0707,0.2334,0.5817,0.0015,0.1066,0.1275,0.1244,3
2977,series3_parallel2,635.258,0.1667,0.5877,4.4484,4.8918,1.3433,4.6556,3.6007,0.3649,5.858,13.2254,0.362,0.0047,0.0409,0.6729,0.0828,0.0012,0.0934,0.7238,0.2939,3
2930,series3,462.0723,0.1667,3.4705,1.4541,2.1785,5.2848,1.2999,-7.3035,0.1853,6.6164,18.4712,0.6111,0.0459,0.0706,0.1904,0.1621,0.0017,0.1554,0.1552,0.2951,2
1125,parallel5,370.1676,3.0,3.3365,2.8435,3.2162,5.4389,1.3873,2.8558,0.0174,3.008,7.7529,0.7732,0.0039,0.0767,0.7388,0.479,0.0026,0.1381,0.7859,0.2904,0
266,parallel5,305.2941,0.25,1.3223,0.4543,3.4555,2.3427,1.2161,7.1846,0.3701,5.8376,14.4819,0.5632,0.0028,0.1038,0.7147,0.1063,0.0575,0.5833,0.7543,0.0464,0
642,series2x2_parallel1,362.0734,1.5,2.4441,3.0056,5.8351,3.9374,0.8712,-2.8619,0.0527,1.5738,3.5631,0.7871,0.0034,0.0408,0.4493,0.1577,0.0101,0.3749,0.3825,0.4417,1
2594,series2x2_parallel1,671.5117,1.0,0.3477,1.6314,0.1703,1.3621,1.4013,11.2387,0.098,6.2093,3.8477,0.2122,0.0734,0.0326,0.6241,0.2471,0.0044,0.1203,0.7881,0.4245,1
2059,series3_parallel2,102.3033,0.5,4.7731,3.1686,3.274,0.6068,1.4731,-8.1372,0.286,4.1492,13.6604,0.4036,0.0065,0.1287,0.8547,0.0577,0.0513,0.2679,0.4556,0.3602,3
2850,series2x2_parallel1,133.8231,1.5,0.9097,0.5945,0.7708,4.0512,3.3485,-8.8315,0.1288,2.8251,5.9399,0.5399,0.0514,0.0347,0.5447,0.1769,0.0722,0.0631,0.8496,0.1409,1
2311,series3_parallel2,332.9232,0.1667,2.4604,2.3574,3.4442,1.0027,2.5623,6.6639,0.4183,6.0623,9.9879,0.5772,0.0648,0.0417,0.5222,0.0324,0.0034,0.177,0.4447,0.3972,3
3513,series3,312.9251,0.125,5.9703,1.5681,1.5536,5.6177,3.0159,9.4259,0.3758,8.386,2.2348,0.2851,0.0167,0.2389,0.6882,0.1336,0.0143,0.1174,0.3022,0.6375,2
2622,series3_parallel2,369.339,1.0,1.6817,2.8519,5.0265,3.4711,1.4151,-2.0552,0.0544,7.7352,8.0189,0.0276,0.0025,0.0491,0.284,0.1761,0.0187,0.1369,0.3687,0.1138,3
1497,series2x2_parallel1,841.6347,0.25,4.3767,3.9777,4.1863,1.5227,2.0323,0.1992,0.1267,1.197,19.6904,0.0614,0.0653,0.0445,0.2976,0.041,0.0058,0.1147,0.8244,0.0811,1
3386,parallel5,536.9692,4.0,2.4087,3.812,2.6751,0.8768,2.7731,9.2634,0.3463,7.4744,21.0263,0.5055,0.0252,0.0833,0.3583,0.0379,0.0024,0.5259,0.303,0.2563,0
2542,series3,266.3127,0.5,2.6576,3.3596,0.5013,5.3777,1.7066,2.1464,0.3472,5.6072,10.6123,0.5534,0.0051,0.048,0.5718,0.0922,0.0895,0.2552,0.5123,0.4227,2
3497,series2x2_parallel1,511.8993,3.0,0.7544,0.5365,0.3046,5.6553,0.8879,-0.4388,0.0112,0.3118,14.2224,0.0934,0.0136,0.1438,0.381,0.024,0.0234,0.4384,0.3713,0.13,1
1700,series3,103.0271,4.0,4.4036,3.7838,0.1712,2.0211,3.0881,-7.2461,0.428,1.0423,1.3914,0.7082,0.0034,0.0338,0.6286,0.1492,0.0422,0.1962,0.6501,0.1301,2
1619,series3_parallel2,232.9843,0.6667,2.9216,3.4354,1.4902,2.9688,4.7722,11.4014,0.1307,8.0195,8.1653,0.577,0.0032,0.1086,0.8254,0.0896,0.0272,0.0579,0.1404,0.2106,3
1768,parallel5,289.6308,3.0,2.5225,1.2602,5.8433,2.6373,4.6414,-1.4167,0.1749,0.0812,19.6902,0.514,0.0239,0.0336,0.6298,0.4782,0.0118,0.6078,0.847,0.0449,0
3749,parallel5,261.0541,0.2,0.7104,2.7151,3.2239,5.3247,0.2089,-0.6026,0.1514,5.7544,16.7507,0.0769,0.0265,0.3752,0.6211,0.0222,0.0813,0.1001,0.8285,0.453,0
1204,series3_parallel2,105.4999,1.5,1.2238,3.276,1.4569,1.6816,2.7439,-9.6598,0.2649,1.5072,0.3487,0.1542,0.0076,0.4703,0.2601,0.6073,0.0798,0.1082,0.5532,0.0394,3
730,series2x2_parallel1,342.0774,0.125,1.9456,4.1392,5.0527,5.6085,0.1597,-2.3337,0.4459,3.7838,18.2642,0.0741,0.0081,0.0519,0.2385,0.0573,0.0033,0.473,0.7716,0.1901,1
3485,series3,341.3099,2.0,1.4613,1.3268,4.2877,1.7923,5.9926,0.1956,0.0658,8.822,17.8922,0.5744,0.009,0.0596,0.6909,0.0523,0.0163,0.4063,0.2733,0.4942,2
1167,series2x2_parallel1,685.5536,0.25,1.6201,0.363,4.8316,3.5483,0.167,-3.7067,0.2792,4.1902,6.7441,0.4743,0.0189,0.3557,0.4111,0.0232,0.0145,0.148,0.6479,0.3814,1
2905,series3_parallel2,99.7251,0.6667,1.591,1.8111,1.4826,0.2846,3.4332,-6.4182,0.0868,3.6905,17.0778,0.62,0.0092,0.3426,0.6728,0.1884,0.0064,0.2382,0.2227,0.3252,3
2795,parallel5,485.0407,0.25,0.9921,1.6595,1.5627,3.4507,0.3159,-10.9912,0.375,7.9864,4.6959,0.4325,0.0642,0.3378,0.4497,0.1743,0.0191,0.0703,0.235,0.0301,0
1030,series3,94.8236,2.0,0.2978,2.5686,4.8523,3.4254,0.269,1.2097,0.1809,7.9062,9.633,0.3149,0.0022,0.033,0.5386,0.0564,0.0898,0.336,0.4589,0.1973,2
3475,series2x2_parallel1,525.396,0.5,0.7121,1.8874,1.4228,4.18,4.0209,-7.0595,0.0636,0.8548,12.192,0.4494,0.0103,0.1344,0.3168,0.0884,0.0629,0.5158,0.3156,0.0524,1
45,series3_parallel2,457.8251,2.0,0.7655,0.8547,0.435,0.5335,1.6552,5.2759,0.1656,8.2881,10.1753,0.7178,0.0029,0.0433,0.837,0.1384,0.0011,0.2525,0.3267,0.1452,3
2925,series3,264.3726,2.0,2.7552,4.4793,3.6329,0.5338,2.0659,-8.1206,0.0061,0.5813,12.1889,0.5156,0.0362,0.0304,0.246,0.1107,0.0138,0.1051,0.2302,0.2671,2
365,series3_parallel2,68.3824,0.6667,2.9648,1.0796,0.317,3.1892,0.3279,9.905,0.068,0.4629,10.9517,0.2745,0.0206,0.1739,0.8074,0.5467,0.0551,0.1249,0.8516,0.0833,3
2532,series2x2_parallel1,207.5365,0.1667,2.1533,2.9177,1.0927,3.1424,1.5422,1.4304,0.2948,4.7857,10.106,0.409,0.0423,0.1166,0.7994,0.0667,0.0021,0.454,0.6983,0.2264,1
119,series3,140.2724,0.6667,0.517,3.474,1.6591,0.3197,1.1293,11.5283,0.2597,6.0287,17.3574,0.064,0.0279,0.2509,0.7904,0.5875,0.1028,0.1284,0.8487,0.0412,2
358,parallel5,78.7598,0.2,2.6668,2.6239,0.442,4.7898,4.5509,-9.7132,0.0497,2.5175,11.781,0.3195,0.0026,0.0793,0.6849,0.4131,0.0534,0.1563,0.707,0.5958,0
1636,series2x2_parallel1,599.1068,1.0,2.6783,0.9461,3.384,3.9916,4.113,-2.7442,0.1422,7.1614,3.9217,0.165,0.0079,0.5234,0.2195,0.0398,0.0234,0.131,0.8826,0.0522,1
2000,series3_parallel2,706.9511,1.5,1.1334,5.0401,4.464,3.239,0.4816,5.367,0.348,5.0081,2.7907,0.6513,0.0037,0.0327,0.641,0.5217,0.0369,0.4366,0.4868,0.4394,3
1621,series2x2_parallel1,73.4319,3.0,1.0293,1.0621,1.2605,5.597,5.12,10.9899,0.0545,1.0179,12.3187,0.6749,0.06,0.0404,0.2055,0.3457,0.0757,0.3631,0.3192,0.7177,1
3243,series3_parallel2,200.9015,4.0,3.957,2.8984,2.954,5.848,2.4877,1.9657,0.0144,6.7726,1.5637,0.6248,0.0213,0.0535,0.8283,0.2874,0.0885,0.0585,0.3623,0.148,3
3163,parallel5,574.6357,0.6667,0.5011,2.9614,5.3259,3.9052,0.8613,0.7189,0.3655,5.7466,9.0758,0.2257,0.0024,0.077,0.2697,0.098,0.0682,0.072,0.5241,0.3604,0
2180,series3_parallel2,236.2289,0.5,0.3641,4.1898,0.4851,0.7452,2.3046,7.3634,0.3914,4.6349,0.0958,0.5949,0.0182,0.442,0.2003,0.2465,0.0185,0.0574,0.5087,0.0433,3
588,series2x2_parallel1,95.1582,0.6667,0.8796,0.5926,0.5367,2.5743,0.1952,6.5069,0.2544,5.6605,9.365,0.0135,0.0165,0.1301,0.669,0.1173,0.0123,0.069,0.2735,0.0813,1
2419,series3_parallel2,448.8681,0.6667,3.9473,0.6027,2.4819,0.4216,3.282,-10.6043,0.27,7.1433,20.6285,0.0992,0.029,0.3224,0.7027,0.0716,0.0574,0.0718,0.9384,0.2697,3
2476,series2x2_parallel1,178.8208,1.5,4.1824,0.3137,3.6796,3.33,3.9885,4.579,0.3161,0.3399,21.1702,0.3245,0.0046,0.5337,0.2889,0.4706,0.0434,0.0721,0.3727,0.2109,1
2378,series2x2_parallel1,394.1523,0.1667,1.2795,3.4944,3.205,4.0401,2.3973,-4.3474,0.0458,6.4004,1.5663,0.5767,0.0022,0.0302,0.628,0.0547,0.0063,0.1428,0.4933,0.3648,1
4027,series3_parallel2,90.7111,0.1667,2.6594,4.9211,1.593,1.7926,2.4778,-1.7882,0.2763,5.2195,1.7076,0.5145,0.005,0.2355,0.1856,0.265,0.04,0.0484,0.4362,0.103,3
2735,series2x2_parallel1,114.2465,4.0,1.6885,5.9909,3.7781,2.694,1.5296,-11.6423,0.4137,2.3635,19.96,0.2485,0.0415,0.033,0.5625,0.5704,0.0053,0.1133,0.2361,0.3294,1
3797,series3_parallel2,101.5548,2.0,1.9233,1.1457,2.4811,2.7791,1.6896,8.5619,0.3552,0.7466,8.5026,0.556,0.058,0.0533,0.3854,0.5169,0.0028,0.1335,0.7229,0.3914,3
2951,parallel5,858.1624,0.6667,3.0995,0.325,2.7288,3.1004,2.9261,-11.698,0.4337,3.7517,19.2324,0.0317,0.0107,0.0673,0.8427,0.2826,0.0014,0.3454,0.6246,0.7619,0
168,series2x2_parallel1,240.0948,0.25,0.5301,3.675,1.6995,5.8077,0.9588,-4.0832,0.2688,3.4215,7.8356,0.424,0.0131,0.2775,0.8706,0.4467,0.0296,0.2026,0.7943,0.671,1
3878,series3,375.4796,1.0,1.7804,3.9446,0.254,0.8751,0.5591,8.7737,0.3182,4.4752,9.4247,0.252,0.0197,0.0393,0.6438,0.0669,0.0025,0.0691,0.3523,0.1492,2
2875,series3_parallel2,76.027,0.2,2.4432,1.5552,4.064,3.7445,3.5705,7.0792,0.261,1.049,19.5016,0.1971,0.0239,0.0338,0.7203,0.1138,0.0055,0.1426,0.2862,0.0343,3
1783,series3_parallel2,433.71,0.125,1.5643,1.6817,1.5379,0.3712,0.4828,11.5546,0.4488,3.1731,10.1289,0.3875,0.0071,0.0584,0.6934,0.0366,0.021,0.0452,0.8386,0.1336,3
1024,parallel5,355.2578,0.25,5.574,0.984,1.0858,0.9528,3.4908,-0.8818,0.2206,6.1908,7.8158,0.0826,0.0153,0.4147,0.661,0.2333,0.09,0.1458,0.4675,0.0537,0
604,series3_parallel2,343.2042,3.0,0.402,2.8326,2.152,0.8541,3.8722,6.0907,0.0127,8.0205,11.8975,0.0,0.0089,0.1668,0.2925,0.0691,0.0092,0.0793,0.1762,0.0428,3
1043,series2x2_parallel1,241.6621,0.1667,4.0318,1.7017,0.5052,4.1441,3.6322,9.9074,0.2425,0.1883,18.6233,0.1344,0.0799,0.3819,0.6109,0.302,0.007,0.1204,0.4346,0.0435,1
3343,series3,365.6774,0.125,0.7297,3.7499,1.3271,2.4448,2.3267,3.3972,0.3264,1.8116,1.8865,0.6776,0.0328,0.2727,0.4757,0.0493,0.0089,0.1171,0.5932,0.0657,2
3914,series2x2_parallel1,337.9419,0.2,0.4286,0.7381,0.6649,0.9817,1.0623,-11.8816,0.0053,5.6122,15.9445,0.6106,0.0026,0.0588,0.7021,0.0366,0.0017,0.3063,0.2907,0.5263,1
3610,series3_parallel2,339.6525,0.5,2.3242,0.4291,3.3832,1.4705,2.6793,-0.364,0.3047,2.7008,1.2809,0.1838,0.0036,0.1226,0.5702,0.0441,0.0163,0.072,0.555,0.7383,3
230,series3_parallel2,138.5486,1.0,0.4408,4.4552,1.97,2.2497,0.6523,9.3054,0.3533,8.9354,21.3488,0.3996,0.0039,0.1498,0.8481,0.3084,0.0054,0.2747,0.8367,0.0894,3
105,series3,334.8077,0.2,3.5769,1.4669,3.6953,1.4582,2.1295,1.8133,0.1222,8.4522,16.2047,0.0987,0.0541,0.3687,0.7572,0.0742,0.0148,0.1368,0.7959,0.1359,2
1365,series3_parallel2,502.7402,1.0,3.9599,0.7086,3.7159,4.7268,3.6468,2.3544,0.2903,8.4413,8.1239,0.2505,0.0625,0.0479,0.6568,0.0379,0.0082,0.0574,0.285,0.0521,3
205,parallel5,711.1501,0.5,3.2825,1.0928,3.5195,3.7784,3.6055,4.2259,0.2432,7.8001,17.359,0.785,0.0313,0.133,0.7322,0.0669,0.0029,0.1522,0.6848,0.1421,0
3525,series3_parallel2,527.6198,0.6667,0.2843,2.1986,2.1629,0.59,1.5439,6.4801,0.2503,3.5452,7.9845,0.0079,0.0334,0.0308,0.5335,0.0507,0.0033,0.1859,0.8461,0.0709,3
3398,series3,823.291,0.6667,1.1606,1.4041,2.9925,0.3354,3.4035,7.0854,0.3078,3.5837,17.1552,0.756,0.0188,0.0717,0.3586,0.1152,0.0852,0.1637,0.8784,0.2981,2
2108,series3,106.6299,0.3333,1.6856,4.7828,1.5023,3.3828,3.8269,-8.1473,0.3303,6.4547,1.2925,0.1358,0.01,0.4608,0.8558,0.0866,0.0765,0.1083,0.5228,0.2908,2
1919,series3,119.585,0.5,0.9904,0.3872,1.1602,1.2331,0.9725,9.5964,0.023,5.585,6.7018,0.2403,0.0034,0.123,0.6576,0.0222,0.0021,0.0523,0.4586,0.0512,2
2601,series3,91.6106,0.6667,1.5426,5.9346,1.6047,4.0097,0.8732,4.6417,0.1079,7.6087,3.5587,0.6726,0.0666,0.0314,0.2293,0.0424,0.0127,0.2084,0.7808,0.0752,2
2808,series2x2_parallel1,66.4864,1.0,0.2667,1.7437,1.7786,3.1699,3.119,4.0259,0.159,1.2777,21.7096,0.4141,0.0165,0.0467,0.6553,0.1437,0.015,0.053,0.6725,0.0488,1
177,series2x2_parallel1,162.3557,0.2,1.5828,0.4197,2.9257,1.5266,1.5878,0.8602,0.1612,8.3217,6.1315,0.1532,0.0089,0.0395,0.8367,0.1579,0.1049,0.2902,0.6968,0.278,1
353,series3_parallel2,850.0887,1.0,3.4286,4.7755,1.488,0.6321,3.1925,7.9535,0.3839,1.8471,18.7496,0.1396,0.0023,0.3273,0.1872,0.037,0.0083,0.0662,0.2876,0.1864,3
3739,series3_parallel2,127.5385,0.2,3.8899,2.409,3.5043,2.936,3.1804,-10.3468,0.1158,2.4385,5.415,0.2643,0.0038,0.1131,0.6573,0.0521,0.0015,0.2826,0.7125,0.0923,3
2249,series3,522.8951,0.6667,1.6059,0.56,4.4709,1.934,1.475,3.2501,0.1138,6.1958,0.5633,0.3894,0.0091,0.0356,0.6814,0.0586,0.0111,0.2196,0.8953,0.7073,2
3345,series3_parallel2,82.2192,0.6667,0.8199,1.75,5.1301,1.3538,2.8758,9.1921,0.3092,2.7709,1.0579,0.5779,0.0029,0.0664,0.3641,0.2431,0.0063,0.0509,0.8855,0.2787,3
1848,parallel5,131.5836,1.5,1.0926,0.3709,1.4719,2.3605,1.3758,2.3901,0.4382,2.2022,16.8366,0.2416,0.0215,0.2487,0.1822,0.267,0.0849,0.1661,0.4403,0.0687,0
2777,series3,617.8886,0.6667,1.7488,3.8547,0.1825,3.4296,3.7047,4.023,0.4095,2.576,15.6231,0.5874,0.0051,0.535,0.7511,0.0255,0.0223,0.4727,0.1675,0.063,2
2136,series2x2_parallel1,528.5484,0.2,1.5259,3.3668,3.2512,1.6151,1.1674,-10.4025,0.1616,1.0428,4.598,0.3776,0.0251,0.3267,0.3264,0.3547,0.0211,0.2073,0.2364,0.0451,1
116,series3_parallel2,192.6845,0.6667,3.8268,2.03,2.4487,3.7171,1.5342,-0.8478,0.0335,7.8389,18.9151,0.5444,0.0049,0.0534,0.7034,0.0351,0.0928,0.1415,0.4502,0.0542,3
950,series3,242.6903,3.0,3.1448,3.4593,5.2967,2.1377,4.1991,11.4782,0.1656,0.725,11.3456,0.0515,0.0244,0.2243,0.3175,0.0345,0.0138,0.225,0.6976,0.7235,2
220,series3,161.1401,1.5,4.9523,5.2248,1.1921,2.8751,5.1626,6.2739,0.4059,5.0414,19.5296,0.5554,0.0033,0.0424,0.5695,0.0788,0.0088,0.3621,0.8558,0.0434,2
392,series2x2_parallel1,69.6579,1.5,0.9231,1.0068,1.0785,1.894,0.5978,-7.1104,0.0294,7.9506,19.1402,0.6352,0.0022,0.0942,0.4066,0.4355,0.0137,0.2,0.7702,0.0751,1
3860,series2x2_parallel1,195.6748,1.0,2.2845,2.5402,0.8419,0.2728,4.5695,8.3536,0.3806,7.4549,15.1049,0.2238,0.0394,0.2443,0.72,0.0637,0.0306,0.287,0.8329,0.1042,1
2996,series3,350.3727,0.6667,1.2086,2.321,1.3143,0.4748,1.3071,11.1429,0.0824,0.4963,20.1565,0.7924,0.0284,0.1236,0.7752,0.3039,0.0022,0.0441,0.3531,0.0862,2
3530,parallel5,171.3036,0.6667,2.6352,1.9783,1.0031,5.4544,3.3822,11.9153,0.4447,0.1256,11.8922,0.6283,0.003,0.5335,0.312,0.163,0.015,0.0532,0.7534,0.0924,0
3787,series3,83.9607,1.5,5.4185,0.2858,3.997,1.0126,2.9113,3.9052,0.1167,1.628,20.1465,0.4,0.0434,0.1011,0.7241,0.0767,0.0505,0.3549,0.4145,0.3568,2
